u,v,key,osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,Cost of returning,Edge Betweenness,bridge,tunnel,access,junction
68147058,69555000,0,"[1314618235, 1042138564, 74847327]","['5', '4']",US 23;GA 42,Moreland Avenue Northeast,trunk,35 mph,False,False,291.42600000000004,"LINESTRING (-84.3492193 33.7623362, -84.3492182 33.7623802, -84.3492171 33.7626116, -84.3492163 33.7627763, -84.3492145 33.7631451, -84.3492143 33.7631849, -84.3492126 33.7635534, -84.3492123 33.7636258, -84.3492106 33.7639731, -84.3492092 33.7642789, -84.3492071 33.7644916, -84.3492057 33.7646405, -84.3492069 33.7647572, -84.3492063 33.7648871, -84.349206 33.764957)",1.676694412314923,0.009295497359843665,,,,
68147058,2511829141,0,591826247,2,US 23;GA 42,Moreland Avenue Northeast,trunk,35 mph,True,False,18.206,"LINESTRING (-84.3492193 33.7623362, -84.3492798 33.7622405, -84.3492813 33.7621849)",10.066740437243176,0.01279757103191114,,,,
68147083,2511829139,0,9164434,1,,,trunk_link,,True,False,217.49800000000002,"LINESTRING (-84.3489307 33.7604903, -84.34893 33.7607199, -84.3489036 33.7609267, -84.3488537 33.7611406, -84.3487917 33.7613068, -84.3486894 33.7614978, -84.3486291 33.7617266, -84.3486455 33.761821, -84.3487439 33.7619455, -84.3488394 33.7620018, -84.3489517 33.7620254, -84.3490272 33.762053, -84.3490934 33.7620909, -84.3491722 33.7621791)",13.624000258101761,0.0012167887984104477,,,,
68147084,1400950462,0,563542877,3,,Dekalb Avenue Northeast,secondary,35 mph,False,False,28.574,"LINESTRING (-84.3488601 33.7602763, -84.3485793 33.7603837)",1.2129639456215782,0.0013282661093205464,,,,
68147084,5649592816,0,591826254,,,Dekalb Avenue Northeast,secondary,35 mph,False,True,6.028,"LINESTRING (-84.3488601 33.7602763, -84.3489179 33.7602512)",1.7184750889877172,0.001418636725890757,,,,
68147084,68147083,0,563542878,,,,trunk_link,,True,False,24.863999999999997,"LINESTRING (-84.3488601 33.7602763, -84.3489062 33.7603724, -84.3489149 33.7603905, -84.3489307 33.7604903)",15.23619364436751,0.001160504280170746,,,,
68147089,2511829126,0,9164438,,,,trunk_link,,True,False,209.997,"LINESTRING (-84.3491721 33.761836, -84.3490929 33.7619019, -84.3490501 33.761923, -84.3490149 33.7619328, -84.3489258 33.7619457, -84.3488498 33.7619369, -84.3487942 33.7618939, -84.3487498 33.761829, -84.3487318 33.7617842, -84.348723 33.7617423, -84.3487234 33.7617054, -84.3487234 33.7616625, -84.3487366 33.7616315, -84.348918 33.76124, -84.3489753 33.7611079, -84.349009 33.7609586, -84.3490245 33.7608027, -84.3490329 33.760685, -84.3490154 33.7604277)",14.646603455867869,0.0012055682856148173,,,,
68147089,2511829139,0,46226097,2,US 23;GA 42,Moreland Avenue Northeast,trunk,35 mph,True,False,38.156,"LINESTRING (-84.3491721 33.761836, -84.349169 33.7620878, -84.3491722 33.7621791)",10.100524077664538,0.010577607738150835,,,,
68168787,2496218306,0,9166649,,,Ripplewater Drive Southeast,residential,,False,False,113.654,"LINESTRING (-84.3437785 33.7196092, -84.344259 33.719981, -84.344568 33.720134, -84.3447508 33.7202249)",1.2109727207070045,0.0002462447672986949,,,,
68168807,2496218306,0,9166649,,,Ripplewater Drive Southeast,residential,,False,True,459.845,"LINESTRING (-84.346282 33.72381, -84.346317 33.722364, -84.346349 33.721894, -84.346286 33.721608, -84.346206 33.7214, -84.3461605 33.7213106, -84.346121 33.721233, -84.345903 33.721012, -84.3458858 33.7209989, -84.345392 33.720622, -84.3453604 33.7206012, -84.345089 33.720423, -84.344773 33.720236, -84.3447508 33.7202249)",1.450444369941569,0.0007383703933729832,,,,
68168807,68212082,0,9170578,,,Sky Haven Road Southeast,residential,,False,False,192.534,"LINESTRING (-84.346282 33.72381, -84.3457983 33.7238051, -84.345189 33.723799, -84.3450311 33.7238068, -84.3449192 33.7238057, -84.3446103 33.7238026, -84.3442006 33.7237985)",1.3567502822814719,0.000272688786644072,,,,
68168807,69499973,0,9170578,,,Sky Haven Road Southeast,residential,,False,True,291.54900000000004,"LINESTRING (-84.346282 33.72381, -84.346586 33.723812, -84.348493 33.723824, -84.3488257 33.7238187, -84.3491878 33.7238128, -84.3493367 33.7238105, -84.3494342 33.723809)",1.5156711642050662,0.0012488127484433812,,,,
68168815,68168817,0,9166652,,,Iverson Street Northeast,residential,,False,False,112.027,"LINESTRING (-84.345525 33.762905, -84.344327 33.763057)",1.2421460214907334,0.0002462447672986949,,,,
68168815,68250906,0,9172979,,,Candler Street Northeast,residential,,False,False,223.956,"LINESTRING (-84.345525 33.762905, -84.3455455 33.7648667, -84.345546 33.764919)",1.4700661024729305,0.00033867753216648087,,,,
68168815,68196571,0,9172979,,,Candler Street Northeast,residential,,False,True,204.37099999999998,"LINESTRING (-84.345525 33.762905, -84.3455301 33.7624211, -84.3455347 33.7619821, -84.3455364 33.7618201, -84.3455389 33.7615848, -84.3455392 33.7615603, -84.3455435 33.7611431, -84.3455443 33.7610671)",1.4578430406598868,0.0004267433947570486,,,,
68168817,68168815,0,9166652,,,Iverson Street Northeast,residential,,False,True,112.027,"LINESTRING (-84.344327 33.763057, -84.345525 33.762905)",1.2421460214907336,0.0002462447672986949,,,,
68169062,68169066,0,9166684,,,Chalmette Drive Northeast,residential,,False,False,113.54599999999999,"LINESTRING (-84.3453433 33.7857208, -84.344631 33.7857764, -84.3441213 33.7858261)",1.2555648711516658,0.0002462447672986949,,,,
68169062,68200552,0,9172430,,,Hancock Drive Northeast,residential,,False,False,275.297,"LINESTRING (-84.3453433 33.7857208, -84.3453808 33.7858908, -84.3454338 33.7860516, -84.3454965 33.7862216, -84.3455571 33.7863476, -84.345639 33.7864866, -84.3457527 33.7866741, -84.3458712 33.7868911, -84.3459378 33.7870079, -84.3459973 33.7871014, -84.3460527 33.7871814, -84.3461226 33.7872664, -84.3461873 33.7873308, -84.3462721 33.7873961, -84.3463442 33.7874411, -84.3464199 33.7874743, -84.3464719 33.7874929, -84.3465397 33.7875093, -84.3466463 33.7875259, -84.3467537 33.7875354, -84.3468606 33.7875396, -84.3469674 33.7875418)",1.556454221659084,1.746760910887294e-05,,,,
68169062,68242512,0,9172430,,,Hancock Drive Northeast,residential,,False,True,107.873,"LINESTRING (-84.3453433 33.7857208, -84.3453357 33.7854957, -84.3453432 33.7852247, -84.3453519 33.7850952, -84.3453672 33.7849263, -84.3453828 33.784752)",1.437424697450565,0.0004905486891408484,,,,
68169066,68169062,0,9166684,,,Chalmette Drive Northeast,residential,,False,True,113.54599999999999,"LINESTRING (-84.3441213 33.7858261, -84.344631 33.7857764, -84.3453433 33.7857208)",1.2555648711516658,0.0002462447672986949,,,,
68174594,68174598,0,9167025,,,Happy Valley Trail Southeast,residential,,False,False,103.925,"LINESTRING (-84.3478744 33.7303729, -84.346751 33.730348)",1.2110649579882036,0.0002462447672986949,,,,
68174594,68451500,0,9191542,,,Brownwood Avenue Southeast,residential,,False,False,66.272,"LINESTRING (-84.3478744 33.7303729, -84.3478754 33.7297769)",1.2110649579882033,0.0002462447672986949,,,,
68174594,68324050,0,9191542,,,Brownwood Avenue Southeast,residential,,False,True,70.649,"LINESTRING (-84.3478744 33.7303729, -84.3478244 33.7310069)",1.4547305750790596,0.0007383703933729832,,,,
68174598,68174594,0,9167025,,,Happy Valley Trail Southeast,residential,,False,True,103.925,"LINESTRING (-84.346751 33.730348, -84.3478744 33.7303729)",1.2110649579882036,0.0002462447672986949,,,,
68175452,68369689,0,9185654,,,Mortimer Street Southeast,residential,,False,False,147.353,"LINESTRING (-84.34816 33.752417, -84.348134 33.751092)",1.5830864845532326,0.000628712625078392,,,,
68175452,68175462,0,9167066,,,Wylie Street Southeast,residential,,False,False,170.673,"LINESTRING (-84.34816 33.752417, -84.3472069 33.7521406, -84.3464073 33.7519359)",1.5427890740894215,0.0009028570458148701,,,,
68175452,69187013,0,9167066,,,Wylie Street Southeast,residential,,False,True,99.231,"LINESTRING (-84.34816 33.752417, -84.3486573 33.7524153, -84.34903 33.752414, -84.3491336 33.7524197, -84.3492329 33.7524248)",1.6084587022526817,0.0016782854571236914,,,,
68175462,68175468,0,9167066,,,Wylie Street Southeast,residential,,False,False,99.512,"LINESTRING (-84.3464073 33.7519359, -84.3453953 33.7516311)",1.5457154259699282,0.00039581117029341943,,,,
68175462,68190686,0,9167978,,,Vannoy Street Southeast,residential,,False,False,102.411,"LINESTRING (-84.3464073 33.7519359, -84.346424 33.751015)",1.4938233938854935,0.00047593169679627066,,,,
68175462,68175452,0,9167066,,,Wylie Street Southeast,residential,,False,True,170.673,"LINESTRING (-84.3464073 33.7519359, -84.3472069 33.7521406, -84.34816 33.752417)",1.5427890740894212,0.0009134103929848141,,,,
68175468,68175474,0,9167066,,,Wylie Street Southeast,residential,,False,False,77.0,"LINESTRING (-84.3453953 33.7516311, -84.3445661 33.7515663)",1.2660304380041387,0.00016721596636514824,,,,
68175468,68175462,0,9167066,,,Wylie Street Southeast,residential,,False,True,99.512,"LINESTRING (-84.3453953 33.7516311, -84.3464073 33.7519359)",1.5457154259699288,0.0003924753421649889,,,,
68175468,68188918,0,9171234,,,Dahlgren Street Southeast,residential,,False,False,315.451,"LINESTRING (-84.3453953 33.7516311, -84.3454255 33.7488452, -84.3454261 33.7487943)",1.5762839073950474,0.00018183295870972594,,,,
68175474,68175468,0,9167066,,,Wylie Street Southeast,residential,,False,True,77.0,"LINESTRING (-84.3445661 33.7515663, -84.3453953 33.7516311)",1.2660304380041392,0.00016569968085222524,,,,
68175474,68188920,0,9173614,,,Ericson Street Southeast,residential,,False,False,293.041,"LINESTRING (-84.3445661 33.7515663, -84.3445889 33.7489757, -84.3445893 33.748931)",1.0985703741428134,0.00013610178763996832,,,,
68178806,69616279,0,9167270,,,Fairview Road Northeast,tertiary,,False,True,479.03700000000003,"LINESTRING (-84.3438751 33.7727163, -84.3440279 33.7726964, -84.3441453 33.7726764, -84.3442536 33.7726512, -84.3445352 33.7725786, -84.3447308 33.7725289, -84.3451563 33.7724212, -84.3453592 33.772377, -84.3455108 33.7723483, -84.3456412 33.7723256, -84.345809 33.7723007, -84.34596 33.772284, -84.3461033 33.7722705, -84.3462507 33.7722609, -84.3463986 33.772253, -84.3465051 33.7722517, -84.3468338 33.7722579, -84.3470758 33.7722663, -84.347432 33.7722691, -84.3482191 33.7722839, -84.3489029 33.7722986, -84.3489878 33.7723006)",1.388025393955824,0.00020287900162909716,,,,
