u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,Cost of returning,Edge Betweenness,geometry,access,junction,ref,width,est_width,tunnel,bridge,service
21638845,885308258,0,554707785,True,2,Passeig de Joan de Borbó,residential,30,False,28.335,8.411243851308528,0.0012826660983794797,"LINESTRING (2.187743 41.3700925, 2.1877072 41.3698391)",,,,,,,,
21638845,21638855,0,"[543357596, 4079500, 902517725, 423227070]",False,"['4', '3']",Passeig de Joan de Borbó,residential,30,True,560.4750000000001,1.7496543553440345,0.0014427674417825597,"LINESTRING (2.187743 41.3700925, 2.1876862 41.3701691, 2.187646 41.3702497, 2.1876269 41.3702846, 2.1875931 41.3703647, 2.1876124 41.3705394, 2.187617 41.3705677, 2.1876623 41.3708496, 2.1876664 41.3708748, 2.1877927 41.3716585, 2.1877969 41.3716845, 2.1879173 41.3724315, 2.1879222 41.3724622, 2.1879268 41.372491, 2.1879373 41.3725507, 2.1879812 41.3728904, 2.1880545 41.3733609, 2.1880724 41.3734818, 2.1881072 41.3736028, 2.1881589 41.3737161, 2.1881713 41.3737433, 2.188195 41.3737952, 2.1883331 41.3740456, 2.1883549 41.3740853, 2.1884591 41.3742718, 2.1886058 41.3745392, 2.1886594 41.3746409, 2.1886752 41.3746705, 2.1887166 41.3747483, 2.1887771 41.3748643, 2.1888306 41.3749826)",,,,,,,,
21638855,3643929105,0,"[997213890, 423227071]",True,2,Passeig de Joan de Borbó,residential,30,False,56.777,2.7741476764585125,0.0016028172476535607,"LINESTRING (2.1888306 41.3749826, 2.1889091 41.3751508, 2.1889186 41.3752037, 2.1889338 41.3752976, 2.1889408 41.3753277, 2.1889583 41.375481)",,,,,,,,
21638855,21638845,0,"[4079500, 543357596, 902517725, 423227070]",False,"['4', '3']",Passeig de Joan de Borbó,residential,30,False,560.4750000000001,1.7496543553440345,0.0014427674417825597,"LINESTRING (2.1888306 41.3749826, 2.1887771 41.3748643, 2.1887166 41.3747483, 2.1886752 41.3746705, 2.1886594 41.3746409, 2.1886058 41.3745392, 2.1884591 41.3742718, 2.1883549 41.3740853, 2.1883331 41.3740456, 2.188195 41.3737952, 2.1881713 41.3737433, 2.1881589 41.3737161, 2.1881072 41.3736028, 2.1880724 41.3734818, 2.1880545 41.3733609, 2.1879812 41.3728904, 2.1879373 41.3725507, 2.1879268 41.372491, 2.1879222 41.3724622, 2.1879173 41.3724315, 2.1877969 41.3716845, 2.1877927 41.3716585, 2.1876664 41.3708748, 2.1876623 41.3708496, 2.187617 41.3705677, 2.1876124 41.3705394, 2.1875931 41.3703647, 2.1876269 41.3702846, 2.187646 41.3702497, 2.1876862 41.3701691, 2.187743 41.3700925)",,,,,,,,
21638859,3643929098,0,291731096,True,2,Passeig de Joan de Borbó,residential,30,False,98.024,4.774119500712091,0.002242913396073407,"LINESTRING (2.1886934 41.3763469, 2.1887306 41.3762421, 2.1888065 41.3760184, 2.1888485 41.3757183, 2.1888484 41.375657, 2.1888484 41.3756489, 2.1888483 41.3756307, 2.1888587 41.375478)",,,,,,,,
21638861,3643971040,0,531217040,False,,Passeig de Joan de Borbó,tertiary,30,False,10.367,1.7139575874771003,0.007066285254570929,"LINESTRING (2.1880402 41.3780115, 2.1881594 41.3780378)",,,,,,,,
21638861,21638859,0,291731095,True,2,Passeig de Joan de Borbó,residential,30,False,192.953,9.817430283376257,0.0022349250786011785,"LINESTRING (2.1880402 41.3780115, 2.1880845 41.377898, 2.1882117 41.3775725, 2.1884162 41.3770509, 2.1884372 41.3769974, 2.1884483 41.3769693, 2.1886724 41.3764003, 2.1886934 41.3763469)",,,,,,,,
21638867,1636238503,0,4079509,False,2,Carrer de Pepe Rubianes,tertiary,30,True,15.734,1.771582844396127,0.005320915193187151,"LINESTRING (2.1889331 41.3782089, 2.1887523 41.3781687)",,,,,,,,
21638867,1403082237,0,4079509,False,2,Carrer de Pepe Rubianes,tertiary,30,False,15.417,1.7689230314502544,0.0036103071971905864,"LINESTRING (2.1889331 41.3782089, 2.1890049 41.3782248, 2.1891103 41.3782482)",,,,,,,,
21638867,30343414,0,4755002,True,,Carrer de Sant Miquel,residential,30,False,91.15,8.42009211484206,5.277443284878605e-05,"LINESTRING (2.1889331 41.3782089, 2.1889092 41.3782688, 2.1886282 41.378973, 2.1886198 41.3789942)",,,,,,,,
21638868,30343649,0,4079509,False,2,Carrer de Pepe Rubianes,tertiary,30,True,15.061,1.511014913998763,0.0028196183800362155,"LINESTRING (2.1899711 41.3784394, 2.189798 41.378401)",,,,,,,,
21638868,30343654,0,4079509,False,2,Carrer de Pepe Rubianes,tertiary,30,False,15.096,1.5090426427100454,0.0015646537051491407,"LINESTRING (2.1899711 41.3784394, 2.1900604 41.3784592, 2.1901446 41.3784779)",,,,,,,,
21638869,30343672,0,4079509,False,2,Carrer de Pepe Rubianes,tertiary,30,False,15.375,1.496062072454507,0.0015992869267061566,"LINESTRING (2.1906605 41.3785912, 2.1908376 41.3786294)",,,,,,,,
21638869,242318729,0,4079509,False,2,Carrer de Pepe Rubianes,tertiary,30,True,15.027,1.8034700084978552,0.002425923172485555,"LINESTRING (2.1906605 41.3785912, 2.1904874 41.3785539)",,,,,,,,
