u,v,key,osmid,name,highway,oneway,reversed,length,geometry,Cost of returning,Edge Betweenness,bridge,lanes,ref,access,maxspeed,tunnel,junction
25585055,533650673,0,8365687,人大会堂西路,tertiary,False,False,220.67600000000002,"LINESTRING (116.3855782 39.9019869, 116.3857511 39.9019465, 116.3858902 39.9018892, 116.3862835 39.9016947, 116.3865228 39.901568, 116.3865423 39.9015576, 116.3867186 39.9014882, 116.3868883 39.9014526, 116.3871101 39.9014347, 116.3877961 39.9014482, 116.3879786 39.9014518)",1.500855228573997,0.0023602690327717076,,,,,,,
25585055,8835880543,0,127844311,人大会堂西路,tertiary,False,True,437.33500000000004,"LINESTRING (116.3855782 39.9019869, 116.3855838 39.9021682, 116.3855688 39.9024817, 116.3855301 39.9033012, 116.385483 39.9042994, 116.3854401 39.9052077, 116.3854226 39.9055281, 116.3854205 39.9055674, 116.3854296 39.9056929, 116.3855503 39.9058974)",1.7059093283160374,0.003933685655308066,,,,,,,
25585055,342791346,0,161809912,人大会堂西路,tertiary,False,False,65.7,"LINESTRING (116.3855782 39.9019869, 116.3854802 39.9018827, 116.3854246 39.901774, 116.3854246 39.9017386, 116.3854253 39.9014284)",1.5446402849947864,0.007838119220280488,,,,,,,
25585083,1414035094,0,161809903,,primary_link,True,False,19.111,"LINESTRING (116.3867923 39.8990026, 116.3866398 39.8991285)",11.926911701522155,8.170411438576013e-05,,,,,,,
25585083,9378036221,0,1145602707,前门西大街,primary,True,False,104.98,"LINESTRING (116.3867923 39.8990026, 116.3858074 39.8989806, 116.3857616 39.8989796, 116.3855622 39.8989751)",10.47944319164684,0.019854171845223298,,,,,,,
25585092,1414035092,0,4263918,兵部洼胡同,tertiary,False,False,15.539,"LINESTRING (116.3818619 39.8988605, 116.3818667 39.8990002)",1.490006939461702,0.00013761451364797343,,,,,,,
25585092,2099138477,0,172805320,前门西大街,primary,True,False,143.527,"LINESTRING (116.3818619 39.8988605, 116.3801806 39.8988121)",15.451178410391895,0.02428615172900748,,,,,,,
25585116,25585122,0,127844296,北新华街,tertiary,False,False,266.55600000000004,"LINESTRING (116.3778503 39.9005436, 116.3778356 39.9014241, 116.3778094 39.9018086, 116.3777893 39.9022187, 116.377788 39.9024955, 116.3777633 39.9029395)",1.5390779023680412,0.0535004160857677,,,,,,,
25585116,339290737,0,127844296,北新华街,tertiary,False,True,90.548,"LINESTRING (116.3778503 39.9005436, 116.3778874 39.900139, 116.3779049 39.8999114, 116.3779113 39.8998289, 116.3779188 39.899731)",1.530360319337647,0.037891760060809763,,,,,,,
25585116,733992878,0,190438900,新壁街,residential,False,True,253.762,"LINESTRING (116.3778503 39.9005436, 116.3776254 39.9004879, 116.3771903 39.9004907, 116.3762331 39.9005226, 116.3748889 39.900482)",1.48989312676236,0.002670730257540879,,,,,,,
