u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,Cost of returning,Edge Betweenness,ref,width,bridge,access,tunnel,junction
12614600,29270276,0,4615465,True,2,Landsberger Allee,primary,50,False,23.121000000000002,"LINESTRING (13.4477389 52.526513, 13.4476928 52.5264971, 13.447639 52.5264805, 13.4476175 52.5264739, 13.4475747 52.5264607, 13.4475508 52.5264533, 13.4474979 52.526437, 13.4474352 52.5264177)",5.169216520989043,0.016086690949929587,,,,,,
12614600,29784567,0,"[1133993741, 1229872027, 823635965, 823635966, 1096709247]",True,"['2', '3']",Danziger Straße,primary,50,False,167.708,"LINESTRING (13.4477389 52.526513, 13.4476831 52.5265669, 13.4476393 52.526608, 13.4475682 52.5266706, 13.4474648 52.5267702, 13.4471433 52.527063, 13.446954 52.5272407, 13.4466592 52.5275134, 13.4463788 52.5277739)",4.6399668023555645,0.023734500005227026,B 96a,,,,,
12614644,29266374,0,183076996,False,2,Winsstraße,residential,50,False,23.777,"LINESTRING (13.4287152 52.5375413, 13.4287918 52.5376193, 13.428818 52.5376459, 13.4288954 52.5377249)",1.6074270093889365,0.001432130072267349,,,,,,
12614644,29266244,0,"[335477512, 819028431, 1113453812, 1113453813, 1113453814]",True,"['2', '3']",Danziger Straße,primary,50,False,315.712,"LINESTRING (13.4287152 52.5375413, 13.4288651 52.537492, 13.4291048 52.53741, 13.4309073 52.5367928, 13.431402 52.5366234, 13.4318861 52.5364549, 13.4325922 52.5361996, 13.4326417 52.536184, 13.4327756 52.5361411)",5.0023825180107275,0.016249923461425307,B 96a,,,,,
12614644,29266235,0,1052739459,False,,Winsstraße,residential,30,True,76.088,"LINESTRING (13.4287152 52.5375413, 13.4286196 52.537439, 13.4286022 52.5374188, 13.4282253 52.5370042, 13.4281696 52.5369429)",1.7859152830433769,0.0015555625249217067,,12,,,,
12614650,243856097,0,69166200,False,,Paul-Heyse-Straße,residential,50,False,23.354,"LINESTRING (13.4444487 52.5295569, 13.4443444 52.5295179, 13.4442941 52.5294991, 13.4441546 52.5294469)",1.7152807120173557,0.0008847112516931827,,,,,,
12614650,29784565,0,823635963,True,2,Danziger Straße,primary,50,False,109.57700000000001,"LINESTRING (13.4444487 52.5295569, 13.4443489 52.529649, 13.443557 52.5303796)",4.650521413555296,0.02441744810684636,B 96a,,,,,
12614650,27195457,0,"[1095306840, 8084125]",False,,Paul-Heyse-Straße,residential,30,True,132.126,"LINESTRING (13.4444487 52.5295569, 13.4446346 52.5296231, 13.4446679 52.5296353, 13.4446846 52.5296415, 13.4448937 52.5297194, 13.4449745 52.5297494, 13.4451586 52.529818, 13.4452712 52.52986, 13.445589 52.5299751, 13.4461205 52.5301713)",1.586809731996588,0.001173467025688586,,,,,,
12614651,29785844,0,1083602355,True,2,Frankfurter Allee,primary,50,False,75.835,"LINESTRING (13.4696307 52.5141613, 13.4706305 52.5140599, 13.4707362 52.5140495)",4.94633985884066,0.0009159987275928656,B 1;B 5,,,,,
12614651,1411289036,0,"[1145133898, 1051639963, 1051639964, 1132775573]",False,,Finowstraße,residential,30,True,198.82899999999998,"LINESTRING (13.4696307 52.5141613, 13.4696199 52.5141245, 13.4695941 52.5140625, 13.4695853 52.5140372, 13.4695781 52.5140194, 13.4693619 52.5134831, 13.4693353 52.5134383, 13.4692546 52.5133555, 13.4690954 52.5131954, 13.4688707 52.5129694, 13.4685538 52.5126506, 13.4685375 52.5126292, 13.468463 52.5125412)",1.5423997254659179,0.0002721039670129944,,,,,,
