u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,Cost of returning,Edge Betweenness,geometry,ref,bridge,width,tunnel,junction,access
32382072,196017205,0,313024196,True,2,Arroyo,residential,40,False,18.34,8.729953454959853,0.00042770828864775815,"LINESTRING (-58.3820534 -34.5915793, -58.3818531 -34.5915831)",,,,,,
32382072,937036361,0,451645199,True,5,Avenida 9 de Julio,trunk,60,False,39.594,17.456627556018276,0.0005357371969093742,"LINESTRING (-58.3820534 -34.5915793, -58.3820576 -34.5916655, -58.3821056 -34.5919324)",,,,,,
32382075,195721010,0,275088523,True,5,Avenida 9 de Julio,trunk,60,False,131.701,5.3289386993705,0.005465825288297456,"LINESTRING (-58.3817206 -34.6061313, -58.3817158 -34.6062236, -58.3816504 -34.6071945, -58.3816413 -34.6073139)",,,,,,
32382075,237634305,0,275088563,True,,Teniente General Juan Domingo Perón,residential,30,False,33.228,8.878852850786823,0.0014393733866262888,"LINESTRING (-58.3817206 -34.6061313, -58.3820042 -34.6061523, -58.3820822 -34.6061581)",,,,,,
32382078,32382578,0,136104174,True,6,Avenida San Juan,primary,60,False,23.938,7.941190058880519,0.0223775239800344,"LINESTRING (-58.3810258 -34.6221516, -58.3807642 -34.6221506)",,,,,,
32382078,248697498,0,"[21091353, 21093414, 114893935]",True,3,Autopista Presidente Arturo Frondizi,motorway,100,False,555.8009999999999,24.308214417563377,0.0008391257265180771,"LINESTRING (-58.3810258 -34.6221516, -58.3809735 -34.6222994, -58.3809589 -34.6225803, -58.380915 -34.6229232, -58.3808877 -34.6230514, -58.3808388 -34.6232662, -58.3808195 -34.6233498, -58.3807854 -34.6234658, -58.380732 -34.6236208, -58.3806801 -34.6237502, -58.380554 -34.6240455, -58.3801674 -34.6249091, -58.3800509 -34.6251886, -58.3799891 -34.6253492, -58.3798249 -34.6257742, -58.3794348 -34.6269562)",AV1-Sur,yes,,,,
32382078,4406273904,0,96867643,True,1,,motorway_link,,False,55.864,10.342849390205709,0.0017801753731306737,"LINESTRING (-58.3810258 -34.6221516, -58.3811398 -34.6222884, -58.3812204 -34.6224498, -58.3813045 -34.6225963)",,,,,,
32382578,247464375,0,"[311682211, 136104175]",True,6,Avenida San Juan,primary,60,False,42.6,13.386778958450568,0.008908908026557678,"LINESTRING (-58.3807642 -34.6221506, -58.3804585 -34.6221469, -58.3802987 -34.6221452)",,,,,,
32382578,248697441,0,"[548019665, 256799283]",True,"['5', '3']",Avenida 9 de Julio,trunk,60,False,210.53699999999998,8.243981743766806,0.01590568152398787,"LINESTRING (-58.3807642 -34.6221506, -58.3807363 -34.6220016, -58.3806939 -34.6217002, -58.3806111 -34.6210959, -58.3806043 -34.6209172, -58.3805975 -34.6207375, -58.3805916 -34.620581, -58.3805796 -34.6202652)",,,,,,
32382580,195722177,0,117293684,True,5,Avenida 9 de Julio,trunk,60,False,134.086,5.317408248895632,0.0014917718144775711,"LINESTRING (-58.3815899 -34.6002417, -58.3815943 -34.6001258, -58.3816327 -34.5992318, -58.3816371 -34.5991589, -58.3816445 -34.5990367)",,,,,,
