u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,bridge,geometry,Cost of returning,Edge Betweenness,junction,access,tunnel,width,est_width,service
7735887,457702196,0,"[1205926280, 1205926281, 26435277, 97846008, 97846003, 116986998, 116987000, 97846012, 966844669]",True,2,A48,Eastern Avenue,trunk,"['50 mph', '40 mph']",False,2534.4300000000007,yes,"LINESTRING (-3.1479128 51.5042001, -3.1479935 51.504141, -3.1485111 51.5037901, -3.1489318 51.5035438, -3.1492861 51.5033591, -3.1495845 51.5032187, -3.1498718 51.5030928, -3.1503501 51.5029117, -3.1507411 51.5027723, -3.1512236 51.5026281, -3.151778 51.502487, -3.152333 51.5023734, -3.1528404 51.5022868, -3.153372 51.50222, -3.1540318 51.5021622, -3.1548363 51.5021243, -3.1568103 51.5020546, -3.1587276 51.5019885, -3.1595427 51.5019603, -3.1604602 51.5019302, -3.1649342 51.5017823, -3.1667114 51.5017274, -3.1675377 51.5017184, -3.1683413 51.5017325, -3.1690692 51.501764, -3.1697819 51.5018133, -3.170253 51.5018574, -3.1707083 51.5019041, -3.1711016 51.5019598, -3.1715397 51.5020314, -3.1719106 51.5021003, -3.1722803 51.5021738, -3.1726177 51.5022534, -3.1731983 51.5023997, -3.1740343 51.5026123, -3.1745123 51.5027337, -3.1751802 51.5029076, -3.1755941 51.5030118, -3.1761643 51.5031573, -3.1767816 51.5033102, -3.1772973 51.5034352, -3.1781115 51.5036217, -3.1791737 51.5038416, -3.18037 51.5040701, -3.1810444 51.5041798, -3.181607 51.5042714, -3.1817068 51.5042876, -3.1827983 51.504446)",24.549708760357824,0.008720933647460386,,,,,,
7735912,12162299810,0,138220723,True,2,A48,Western Avenue,trunk,30 mph,False,138.275,,"LINESTRING (-3.2068101 51.5005001, -3.2065515 51.5007615, -3.2063424 51.5009405, -3.2061642 51.5010848, -3.2057932 51.5013413, -3.2056916 51.5014088, -3.2055905 51.5014807)",29.934872296464835,0.032460234924912665,,,,,,
7735912,546517955,0,"[380263840, 1271511707, 1311382478]",True,1,,Aberporth Road,residential,"['20 mph', '30 mph']",False,139.064,,"LINESTRING (-3.2068101 51.5005001, -3.2067121 51.500701, -3.2066026 51.5008268, -3.20644 51.5009856, -3.2062941 51.5011203, -3.2061155 51.5012553, -3.2060265 51.5013194, -3.2059992 51.501339, -3.2059737 51.5013588, -3.2059635 51.5013784, -3.2059625 51.5014066, -3.2059687 51.5014313, -3.2059884 51.5014545, -3.2060407 51.5014886, -3.2060429 51.50149, -3.206115 51.5015642)",31.156789827194114,0.01817560138746149,,,,,,
21414394,21414397,0,4349340,True,3,A470,North Road,trunk,30 mph,False,9.821,,"LINESTRING (-3.2003887 51.5081568, -3.2002787 51.5082126)",7.3610443202182525,0.04073238394036274,,,,,,
21414397,8657402752,0,4919130,True,2,A469,Caerphilly Road,primary,30 mph,False,22.588,,"LINESTRING (-3.2002787 51.5082126, -3.2001354 51.5083002, -3.2000399 51.5083509)",7.305328697847093,0.007913700841519154,,,,,,
21414397,21414398,0,43386465,True,3,A470,North Road,trunk,30 mph,False,53.888000000000005,,"LINESTRING (-3.2002787 51.5082126, -3.2002201 51.5082251, -3.2001545 51.5082375, -3.2000934 51.5082426, -3.2000252 51.50824, -3.1999567 51.5082306, -3.1998917 51.5082147, -3.1998302 51.5081904, -3.1997794 51.5081651, -3.1997309 51.5081308, -3.1996514 51.5080395)",27.27927976869287,0.032818683098843594,,,,,,
21414398,21414405,0,43386498,True,4,A470,North Road,trunk,30 mph,False,78.447,,"LINESTRING (-3.1996514 51.5080395, -3.1996441 51.507818, -3.1996351 51.5075549, -3.1996223 51.5074036, -3.1996124 51.5073346)",27.24864011588362,0.04018061496299103,,,,,,
21414405,1371615683,0,24298790,True,2,,North Road,trunk_link,30 mph,False,134.953,,"LINESTRING (-3.1996124 51.5073346, -3.1995388 51.5072596, -3.1995072 51.5071947, -3.1994694 51.5071245, -3.1993537 51.5069164, -3.1992176 51.5066691, -3.1991445 51.5065309, -3.1989585 51.5061934)",30.40544440945655,0.03144679848297403,,,,,,
21414405,27262670,0,"[24298792, 26435480, 1271171696, 26435485]",True,2,A470,North Road,trunk,30 mph,False,583.8330000000001,yes,"LINESTRING (-3.1996124 51.5073346, -3.1996324 51.5072565, -3.1996224 51.50719, -3.1995857 51.5071138, -3.1993543 51.5066443, -3.198584 51.5051155, -3.198463 51.5048735, -3.1983765 51.5047039, -3.1982955 51.504542, -3.1981352 51.5042266, -3.1976927 51.5033402, -3.1976568 51.5032725, -3.1976116 51.5031921, -3.1975637 51.5031189, -3.1975025 51.5030253, -3.1974478 51.5029471, -3.1974301 51.5029234, -3.1973882 51.5028666, -3.1972554 51.5027101, -3.1971857 51.5026344, -3.1971066 51.5025481, -3.1969127 51.5023915)",27.24983934995583,0.008733816480017004,,,,,,
21414414,263216704,0,24298800,True,2,,,primary_link,30 mph,False,100.146,,"LINESTRING (-3.1970733 51.5023378, -3.1972548 51.5024506, -3.1973338 51.5025248, -3.1974328 51.5026193, -3.1974914 51.5026807, -3.1975487 51.5027386, -3.1976439 51.5028395, -3.1977163 51.5029227, -3.1977909 51.5030221, -3.197838 51.5030948)",20.84732134069944,0.0042397441101373326,,,,,,
