u,v,key,osmid,highway,name,oneway,reversed,length,geometry,Inverse SP,Cost of return,Edge Betweenness,bridge,lanes,ref,access,maxspeed,tunnel,junction,width,Groups
25585055,533650673,0,8365687,tertiary,人大会堂西路,False,False,220.67642376817008,"LINESTRING (116.3855782 39.9019869, 116.3857511 39.9019465, 116.3858902 39.9018892, 116.3862835 39.9016947, 116.3865228 39.901568, 116.3865423 39.9015576, 116.3867186 39.9014882, 116.3868883 39.9014526, 116.3871101 39.9014347, 116.3877961 39.9014482, 116.3879786 39.9014518)",220.6764237681701,1.5008552285739978,0.0022249597963588832,,,,,,,,,B
25585055,8835880543,0,127844311,tertiary,人大会堂西路,False,True,437.3348409580139,"LINESTRING (116.3855782 39.9019869, 116.3855838 39.9021682, 116.3855688 39.9024817, 116.3855301 39.9033012, 116.385483 39.9042994, 116.3854401 39.9052077, 116.3854226 39.9055281, 116.3854205 39.9055674, 116.3854296 39.9056929, 116.3855503 39.9058974)",437.33484095801384,1.7059093282990385,0.004148356452218582,,,,,,,,,B
25585055,342791346,0,161809912,tertiary,人大会堂西路,False,False,65.70066355282344,"LINESTRING (116.3855782 39.9019869, 116.3854802 39.9018827, 116.3854246 39.901774, 116.3854246 39.9017386, 116.3854253 39.9014284)",65.70066355282344,1.544640284994721,0.007666569203294262,,,,,,,,,B
25585083,1414035094,0,161809903,primary_link,,True,False,19.110832127530205,"LINESTRING (116.3867923 39.8990026, 116.3866398 39.8991285)",756.4508197645788,11.926911701523721,8.126725316684296e-05,,,,,,,,,B
25585083,9378036221,0,1145602707,primary,前门西大街,True,False,104.97976657598939,"LINESTRING (116.3867923 39.8990026, 116.3858074 39.8989806, 116.3857616 39.8989796, 116.3855622 39.8989751)",649.3664073401325,10.479443191724204,0.019834871248018485,,,,,,,,,B
25585092,1414035092,0,4263918,tertiary,兵部洼胡同,False,False,15.539349017951173,"LINESTRING (116.3818619 39.8988605, 116.3818667 39.8990002)",15.539349017951173,1.4900069394617075,0.00013601873590005992,,,,,,,,,B
25585092,2099138477,0,172805320,primary,前门西大街,True,False,143.52665820200625,"LINESTRING (116.3818619 39.8988605, 116.3801806 39.8988121)",1182.1297685790928,15.451178410392108,0.024019991457622066,,,,,,,,,B
25585116,25585122,0,127844296,tertiary,北新华街,False,False,266.5560653197832,"LINESTRING (116.3778503 39.9005436, 116.3778356 39.9014241, 116.3778094 39.9018086, 116.3777893 39.9022187, 116.377788 39.9024955, 116.3777633 39.9029395)",266.5560653197833,1.5390779023680465,0.052618253169709535,,,,,,,,,B
25585116,339290737,0,127844296,tertiary,北新华街,False,True,90.54730853910696,"LINESTRING (116.3778503 39.9005436, 116.3778874 39.900139, 116.3779049 39.8999114, 116.3779113 39.8998289, 116.3779188 39.899731)",90.54730853910695,1.5303603193376556,0.03726805867295019,,,,,,,,,B
25585116,733992878,0,190438900,residential,新壁街,False,True,253.762479752737,"LINESTRING (116.3778503 39.9005436, 116.3776254 39.9004879, 116.3771903 39.9004907, 116.3762331 39.9005226, 116.3748889 39.900482)",253.762479752737,1.4898931267623639,0.0026148132859776007,,,,,,,,,C
25585122,25585116,0,127844296,tertiary,北新华街,False,True,266.5560653197833,"LINESTRING (116.3777633 39.9029395, 116.377788 39.9024955, 116.3777893 39.9022187, 116.3778094 39.9018086, 116.3778356 39.9014241, 116.3778503 39.9005436)",266.5560653197832,1.5390779023680465,0.033663490507354184,,,,,,,,,B
25585122,342803653,0,154860702,tertiary,西绒线胡同,False,True,217.67973181814534,"LINESTRING (116.3777633 39.9029395, 116.3771868 39.9028889, 116.3765779 39.9028703, 116.3761696 39.902873, 116.3752167 39.902839)",217.67973181814534,1.4132904055456057,0.0001725675005518147,,,,,,,,,B
25585122,533648147,0,1051962151,tertiary,北新华街,False,False,96.49069696665062,"LINESTRING (116.3777633 39.9029395, 116.3777062 39.9035525, 116.3775755 39.903785)",96.49069696665062,1.411567973924413,0.0525652932930867,,,,,,,,,B
25585141,342791876,0,4263918,tertiary,兵部洼胡同,False,False,75.80537984590306,"LINESTRING (116.3817558 39.900629, 116.3817133 39.9010691, 116.3816769 39.9013079)",75.80537984590306,1.4314690408021034,0.0004050463094347411,,,,,,,,,B
25585141,1414035092,0,4263918,tertiary,兵部洼胡同,False,True,181.39383520465014,"LINESTRING (116.3817558 39.900629, 116.381798 39.9002422, 116.3818157 39.8998235, 116.3818641 39.8990651, 116.3818667 39.8990002)",181.39383520465014,1.7353022277480545,0.0008473580259653891,,,,,,,,,B
25585141,533648958,0,60266744,tertiary,西交民巷,True,False,79.84040718268903,"LINESTRING (116.3817558 39.900629, 116.3822005 39.9006785, 116.3826849 39.9006431)",249.44656434395068,4.180007460418739,0.00042647391851488754,,,,,,,,,B
