u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,Inverse SP,Cost of return,Edge Betweenness,geometry,ref,bridge,width,tunnel,access,junction,Groups
32382072,196017205,0,313024196,residential,2,40,Arroyo,True,False,18.587016282227367,430.9582750228196,8.7299534549599,0.0004210981152139,"LINESTRING (-58.3820534 -34.5915793, -58.3818504 -34.5915831)",,,,,,,C
32382072,937036361,0,451645199,trunk,5,60,Avenida 9 de Julio,True,False,39.59384713117931,679.3703549283938,17.45662755601848,0.0005417029440644,"LINESTRING (-58.3820534 -34.5915793, -58.3820576 -34.5916652, -58.3821056 -34.5919324)",,,,,,,C
32382075,195721010,0,275088523,trunk,5,60,Avenida 9 de Julio,True,False,133.9117132028359,218.29547486756903,5.328938699370612,0.0055646078354004,"LINESTRING (-58.3817206 -34.6061114, -58.3817158 -34.6062236, -58.3816504 -34.6071945, -58.3816413 -34.6073139)",,,,,,,C
32382075,237634305,0,275088563,residential,,30,Teniente General Juan Domingo PerÃÂÃÂ³n,True,False,33.06678169583188,387.6497196144106,8.878852850786998,0.0013819909725878,"LINESTRING (-58.3817206 -34.6061114, -58.3820042 -34.6061203, -58.3820809 -34.6061294)",,,,,,,C
32382078,32382578,0,136104174,primary,6,60,Avenida San Juan,True,False,23.937783008189168,582.6980394415704,7.941190056613556,0.0224429771054582,"LINESTRING (-58.3810258 -34.6221516, -58.3807642 -34.6221506)",,,,,,,C
32382078,248697498,0,"[21091353, 21093414, 114893935]",motorway,3,100,Autopista Presidente Arturo Frondizi,True,False,555.8031476448274,4103.495523556063,24.31536294784664,0.0008352749557232,"LINESTRING (-58.3810258 -34.6221516, -58.3809735 -34.6222994, -58.3809589 -34.6225803, -58.380915 -34.6229232, -58.3808877 -34.6230514, -58.3808388 -34.6232662, -58.3808195 -34.6233498, -58.3807854 -34.6234658, -58.380732 -34.6236208, -58.3806801 -34.6237502, -58.380554 -34.6240455, -58.3801674 -34.6249091, -58.3800509 -34.6251886, -58.3799891 -34.6253492, -58.3798249 -34.6257742, -58.3794348 -34.6269562)",AV1-Sur,yes,,,,,C
32382078,4406273904,0,96867643,motorway_link,1,,,True,False,55.86416512318194,637.8236158069769,10.342849389870011,0.0017853654497728,"LINESTRING (-58.3810258 -34.6221516, -58.3811398 -34.6222884, -58.3812204 -34.6224498, -58.3813045 -34.6225963)",,,,,,,C
32382578,247464375,0,"[311682211, 136104175]",primary,6,60,Avenida San Juan,True,False,42.59950031193571,667.8409292712838,13.386778957662766,0.0090006002750398,"LINESTRING (-58.3807642 -34.6221506, -58.3804585 -34.6221469, -58.3802987 -34.6221452)",,,,,,,C
32382578,248697441,0,"[548019665, 256799283]",trunk,"['3', '5']",60,Avenida 9 de Julio,True,False,210.5373441446676,396.098478305092,8.243981743064325,0.0160146006553865,"LINESTRING (-58.3807642 -34.6221506, -58.3807363 -34.6220016, -58.3806939 -34.6217002, -58.3806111 -34.6210959, -58.3806043 -34.6209172, -58.3805975 -34.6207375, -58.3805916 -34.620581, -58.3805796 -34.6202652)",,,,,,,C
32382580,195722177,0,117293684,trunk,5,60,Avenida 9 de Julio,True,False,134.08534985764197,219.271555045054,5.317408248895729,0.001463105724735,"LINESTRING (-58.3815899 -34.6002417, -58.3815943 -34.6001258, -58.3816327 -34.5992318, -58.3816371 -34.5991589, -58.3816445 -34.5990367)",,,,,,,C
32382580,237634480,0,126149635,residential,5,40,Viamonte,True,False,35.98905272883131,385.9725801557423,8.860439263666956,0.0014732288975509,"LINESTRING (-58.3815899 -34.6002417, -58.3813176 -34.6002249, -58.3811978 -34.6002175)",,,,,,,C
32385175,237683235,0,287001589,secondary,5,60,Avenida Santa Fe,False,True,44.35892171027668,44.35892171027668,1.849925273989797,0.0103728885260789,"LINESTRING (-58.3819695 -34.5953921, -58.3814873 -34.5953523)",,,,,,,C
32385175,682385670,0,575035027,trunk,3,60,Avenida 9 de Julio,True,False,16.490538305272686,582.756165881061,12.148363113694876,0.0032340141194003,"LINESTRING (-58.3819695 -34.5953921, -58.3819684 -34.5952438)",,,,,,,C
32385175,32385176,0,"[80281729, 575035026, 1031001971]",secondary,5,60,Avenida Santa Fe,False,"[False, True]",44.52147646756011,44.52147646756011,1.8235210906758867,0.0244846237737377,"LINESTRING (-58.3819695 -34.5953921, -58.3820969 -34.5954023, -58.3821474 -34.5954051, -58.3822904 -34.5954155, -58.3824537 -34.5954298)",,,,,,,C
32385176,237634175,0,80281733,secondary,5,60,Avenida Santa Fe,False,True,26.15214482725817,26.15214482725817,1.7102131155522695,0.0252771744122414,"LINESTRING (-58.3824537 -34.5954298, -58.3827381 -34.5954523)",,,,,,,C
32385176,32385175,0,"[80281729, 575035026, 1031001971]",secondary,5,60,Avenida Santa Fe,False,"[False, True]",44.52147646756011,44.52147646756011,1.823521090675886,0.0130868691128737,"LINESTRING (-58.3824537 -34.5954298, -58.3822904 -34.5954155, -58.3821474 -34.5954051, -58.3820969 -34.5954023, -58.3819695 -34.5953921)",,,,,,,C
32385176,195722103,0,"[1294485694, 1294485693, 1294485702]",trunk,5,60,Avenida 9 de Julio,True,False,148.87548906463385,489.4882670196492,8.834801238624685,0.0027059273279092,"LINESTRING (-58.3824537 -34.5954298, -58.3824218 -34.595745, -58.3823111 -34.5966443, -58.3822927 -34.596762)",,,,,,,C
32385196,196235135,0,57199816,secondary,5,60,Avenida Santa Fe,False,False,30.515147467889324,30.515147467889324,1.5409566684987333,0.0103746673583629,"LINESTRING (-58.4089145 -34.5900356, -58.4087632 -34.5901624, -58.4086813 -34.5902317)",,,,,,,C
32385196,192015862,0,57199816,secondary,5,60,Avenida Santa Fe,False,True,79.17212942650254,79.17212942650254,1.651778132976643,0.0097017189341495,"LINESTRING (-58.4089145 -34.5900356, -58.4093072 -34.5897052, -58.4095194 -34.5895267)",,,,,,,C
32385206,237683235,0,103757460,secondary,4,60,Avenida Santa Fe,False,True,140.61060318313184,140.6106031831318,1.87793535442222,0.0240886233649297,"LINESTRING (-58.3799595 -34.5952208, -58.380254 -34.5952469, -58.380351 -34.5952555, -58.3804049 -34.5952597, -58.3804335 -34.5952628, -58.3804948 -34.5952683, -58.3806291 -34.5952802, -58.3806645 -34.5952833, -58.3808105 -34.5952963, -58.3808428 -34.5952991, -58.3809285 -34.5953067, -58.3810141 -34.5953143, -58.3810338 -34.595316, -58.3814873 -34.5953523)",,,,,,,C
32385206,195721154,0,113531297,other,,10,Suipacha,True,False,142.9194751829282,428.00495966555445,6.991101163537762,0.0181106149067439,"LINESTRING (-58.3799595 -34.5952208, -58.3799614 -34.5953325, -58.379909 -34.5965053)",,,,,,,C
32385206,32385207,0,113531305,secondary,4,60,Avenida Santa Fe,False,False,133.37395844717628,133.37395844717628,1.6596766210172884,0.040166129998357,"LINESTRING (-58.3799595 -34.5952208, -58.3790748 -34.5951413, -58.378511 -34.5950907)",,,,,,,C
32385207,256244956,0,47034907,secondary,3,60,Avenida Santa Fe,False,False,60.7216313583391,60.7216313583391,1.7418193953003882,0.0405377118912674,"LINESTRING (-58.378511 -34.5950907, -58.3783506 -34.5950773, -58.378172 -34.5950651, -58.378035 -34.5950538, -58.3779022 -34.5950402, -58.3778509 -34.5950432)",,,,,,,C
32385207,32385206,0,113531305,secondary,4,60,Avenida Santa Fe,False,True,133.37395844717628,133.37395844717628,1.659676621017289,0.0414850209384731,"LINESTRING (-58.378511 -34.5950907, -58.3790748 -34.5951413, -58.3799595 -34.5952208)",,,,,,,C
32385207,297251638,0,288583331,residential,2,40,Esmeralda,True,False,51.00291660046517,345.0337342212894,8.681650125588375,0.0031948474667487,"LINESTRING (-58.378511 -34.5950907, -58.3785162 -34.5949788, -58.3785227 -34.5947514, -58.3785262 -34.5946322)",,,,,,,C
60636576,195569923,0,285542319,residential,,40,Paso,True,False,150.46985561795037,449.9505979330014,7.040770456012505,0.0053370143302728,"LINESTRING (-58.4036326 -34.6047431, -58.4036375 -34.6033899)",,,,,,,C
60636576,196222690,0,1268297580,primary,5,50,Avenida Corrientes,True,False,136.0723525149298,721.9931672732885,10.464861699958036,0.0111148879853139,"LINESTRING (-58.4036326 -34.6047431, -58.403272 -34.6047337, -58.4030928 -34.604729, -58.4023984 -34.6047109, -58.402353 -34.6047097, -58.4021466 -34.6047043)",,,,,,,C
60636725,680603295,0,533349708,residential,,40,TomÃÂÃÂ¡s Manuel de Anchorena,True,False,87.91998734247831,582.9369169096116,10.255492362340023,0.0148313861049265,"LINESTRING (-58.4103403 -34.604023, -58.4100715 -34.6033392, -58.4100466 -34.6032702)",,,,,,,C
60636725,195898489,0,1268297583,primary,5,50,Avenida Corrientes,True,False,130.5452906380723,728.0133097319083,8.767021646960242,0.0164298771376712,"LINESTRING (-58.4103403 -34.604023, -58.4102526 -34.6040246, -58.4096755 -34.6040578, -58.4095726 -34.6040637, -58.4093653 -34.6040756, -58.4091926 -34.6040856, -58.40902 -34.6040955, -58.4089719 -34.6041008, -58.4089179 -34.6041068)",,,,,,,C
81548191,81548336,0,48052791,residential,1,40,Sinclair,True,False,104.55304225499512,348.27760125049787,4.915903786728313,0.0001451850567738,"LINESTRING (-58.4224419 -34.5731076, -58.4229205 -34.5739613)",,,,,,,C
81548191,81548192,0,110151116,residential,2,40,Juan Francisco SeguÃÂÃÂ­,False,False,122.78793296689535,122.78793296689535,1.4831083096510185,5.388244700050066e-05,"LINESTRING (-58.4224419 -34.5731076, -58.4212561 -34.5736234)",,,,,,,C
