u,v,key,osmid,bridge,oneway,lanes,highway,reversed,length,maxspeed,geometry,Cost of returning,Edge Betweenness,ref,name,tunnel,access,width,junction
653744,348127029,0,"[635808561, 31290321, 148385717, 399296313]",yes,True,"['1', '2']",motorway_link,False,448.94500000000005,40 mph,"LINESTRING (-118.2572282 34.030077, -118.2564312 34.0295714, -118.2561328 34.0293856, -118.2560163 34.0293055, -118.2558985 34.0292237, -118.2554559 34.0288541, -118.2551747 34.0286757, -118.2546884 34.0284362, -118.2541146 34.0281537, -118.2538059 34.0280018, -118.2533157 34.0276938)",19.532920472789744,0.0009140016274533836,,,,,,
653744,1614922693,0,"[124165056, 867327565]",yes,True,"['5', '4']",motorway,False,626.662,55 mph,"LINESTRING (-118.2572282 34.030077, -118.2568688 34.029913, -118.2565228 34.0297434, -118.2558444 34.0293848, -118.2515045 34.0270361)",23.711965777224737,0.002597444300654957,I 10,Santa Monica Freeway,,,,
653766,317645238,0,"[148397201, 148252613, 148252606]",yes,True,5,motorway,False,325.973,55 mph,"LINESTRING (-118.2189695 34.0405274, -118.2193338 34.0399103, -118.2195242 34.0395003, -118.2196476 34.0391735, -118.2197455 34.0388312, -118.2198555 34.0384967, -118.2201009 34.0377599)",26.566516268917017,0.01618413936345824,I 5;I 10,Golden State Freeway,,,,
653772,269459515,0,35737766,,True,2,motorway_link,False,690.682,,"LINESTRING (-118.2139046 34.0511029, -118.2138454 34.0518395, -118.2138085 34.0528499, -118.2137873 34.0530057, -118.2137475 34.0531662, -118.2136658 34.0533698, -118.2135309 34.0535954, -118.2134002 34.0537569, -118.213229 34.0539243, -118.2131159 34.05401, -118.212973 34.054102, -118.212846 34.0541725, -118.212696 34.054241, -118.2124626 34.0543238, -118.2121647 34.0543945, -118.2119119 34.0544162, -118.2117423 34.0544189, -118.211546 34.0544083, -118.2113784 34.0543829, -118.2112221 34.0543518, -118.2107563 34.0542518, -118.2095284 34.0539475)",31.115895394778267,0.000240306971866323,I 10,,,,,
653772,269459296,0,"[148252594, 148252604, 29687814, 29687815]",yes,True,4,motorway,False,504.853,"['65 mph', '55 mph']","LINESTRING (-118.2139046 34.0511029, -118.2140328 34.0540751, -118.2140458 34.0544011, -118.2140595 34.0548415, -118.2140908 34.0556405)",32.23999203591166,0.00411874152073968,I 5,Golden State Freeway,,,,
14798411,17737739,0,4386491,,False,,tertiary,False,116.124,,"LINESTRING (-118.2156947 34.0765136, -118.2155812 34.0764963, -118.2148336 34.0765086, -118.214436 34.0765146)",1.8544562015140058,0.000588063977408557,,Avenue 26,,,,
14798411,279072762,0,"[185887376, 185887377, 686423544, 398404544]",,False,"['2', '3']",secondary,False,318.688,35 mph,"LINESTRING (-118.2156947 34.0765136, -118.2155988 34.0767991, -118.2155631 34.0769002, -118.215378 34.0774568, -118.2153599 34.0775106, -118.2152787 34.0777523, -118.2151892 34.078019, -118.2151354 34.0781995, -118.2149565 34.078799, -118.2149098 34.0790219, -118.2149008 34.0790526, -118.2148254 34.0792866)",1.8039697286117626,0.002207989389323878,,Pasadena Avenue,,,,
14798411,27062259,0,390797519,,False,5,secondary,True,74.99,35 mph,"LINESTRING (-118.2156947 34.0765136, -118.2159366 34.0764704, -118.2160847 34.0764177, -118.2163034 34.0763222, -118.2164435 34.0762611)",1.8422945168033535,0.002627203313813146,,Pasadena Avenue,,,,
14798411,16588311,0,"[398404000, 398404001, 398403999]",,False,"['5', '4']",primary,False,319.701,30 mph,"LINESTRING (-118.2156947 34.0765136, -118.2157067 34.0764091, -118.215699 34.0760771, -118.2156975 34.076012, -118.2156947 34.0758938, -118.215693 34.0758188, -118.2156857 34.0752229, -118.2156785 34.0750465, -118.2156628 34.0746275, -118.2156579 34.074531, -118.2156528 34.0742862, -118.2156495 34.0741739, -118.2156479 34.0741205, -118.2156338 34.0736397)",1.9786771905756608,0.0008334876175451614,,Daly Street,,,,
14798411,123473364,0,1071935215,,False,4,primary,True,255.333,,"LINESTRING (-118.2156947 34.0765136, -118.2157619 34.0767909, -118.2165858 34.0777163, -118.2172046 34.0784114)",1.83770213114809,0.00041991967183689334,,Avenue 26,,,,
14798419,18453032,0,4386491,,False,,tertiary,True,119.014,,"LINESTRING (-118.2118339 34.0765422, -118.213126 34.076529)",1.5247788975515164,0.0002723008516253244,,Avenue 26,,,,
14798419,35833869,0,263451060,,False,,tertiary,False,118.358,30 mph,"LINESTRING (-118.2118339 34.0765422, -118.2118252 34.0760183, -118.2118113 34.0755547, -118.211809 34.075478)",1.6870713297320823,0.0002710657937669806,,Griffin Avenue,,,,
14798419,21650972,0,607540376,,False,,tertiary,True,302.324,30 mph,"LINESTRING (-118.2118339 34.0765422, -118.2118346 34.0768992, -118.2118451 34.0775528, -118.2118478 34.0777146, -118.2118508 34.0779936, -118.2118531 34.0781569, -118.2118917 34.0792605)",1.4717900570870142,3.481686914950152e-05,,Griffin Avenue,,,,
14798642,72448807,0,256114877,,False,4,secondary,False,123.067,,"LINESTRING (-118.2115616 34.0660207, -118.2114335 34.0660219, -118.211166 34.0660245, -118.2109956 34.0660261, -118.2106891 34.066029, -118.2102257 34.0660362)",1.9059863574403428,0.004418037208411662,,North Main Street,,,,
14798642,72448746,0,256114877,,False,4,secondary,True,123.57000000000001,,"LINESTRING (-118.2115616 34.0660207, -118.2117265 34.0660189, -118.2121698 34.0660142, -118.2123935 34.0660118, -118.2125868 34.0660097, -118.212797 34.0660075, -118.212903 34.0660072)",1.812728510967803,0.004070927137938084,,North Main Street,,,,
14798642,14941347,0,"[172997648, 172997650, 398608523, 398608527]",yes,False,4,secondary,False,364.421,,"LINESTRING (-118.2115616 34.0660207, -118.2115584 34.0659054, -118.2115538 34.0656615, -118.2115526 34.0656033, -118.2115494 34.0654423, -118.2115459 34.0652695, -118.2115264 34.0642816, -118.2115227 34.0638989, -118.2115013 34.0636723, -118.2114705 34.0634958, -118.211421 34.0633197, -118.2113568 34.0631329, -118.2112913 34.0629738, -118.2112008 34.0627814)",1.9387022604752275,0.003499036537245934,,Griffin Avenue,,,,
14798642,76369416,0,"[398608953, 398608524, 398608526]",,False,4,secondary,True,173.632,,"LINESTRING (-118.2115616 34.0660207, -118.2115639 34.0661159, -118.2115774 34.0665421, -118.2115833 34.0667315, -118.2115886 34.0669015, -118.2115969 34.0671645, -118.21161 34.0675817)",1.697666876984146,0.001622277903074071,,Griffin Avenue,,,,
14854413,123756253,0,55479169,,False,,secondary,True,198.577,,"LINESTRING (-118.2117169 34.0736942, -118.2117079 34.0732921, -118.2117044 34.073143, -118.2116995 34.072876, -118.211695 34.0726297, -118.2116904 34.072382, -118.2116808 34.0719086)",1.7641399339153039,0.0003586372771514532,,Griffin Avenue,,,,
14854413,35833869,0,263451060,,False,,tertiary,True,198.551,30 mph,"LINESTRING (-118.2117169 34.0736942, -118.211733 34.0740359, -118.2117374 34.0741408, -118.2117425 34.0742702, -118.2117665 34.0748394, -118.211778 34.0751168, -118.21179 34.0752547, -118.211809 34.075478)",1.7257256313052156,0.00020090274495725879,,Griffin Avenue,,,,
14854413,18453031,0,"[398421432, 398421026, 398421021]",,False,"['6', '7']",primary,False,124.268,30 mph,"LINESTRING (-118.2117169 34.0736942, -118.2120019 34.0736902, -118.2122101 34.0736873, -118.2123771 34.073685, -118.2123988 34.0736847, -118.2125651 34.0736824, -118.2130659 34.0736754)",1.7419396878878517,0.003879375545336857,,North Broadway,,,,
14854413,18882269,0,"[48336961, 398422706, 398421029]",,False,"['6', '7']",primary,True,124.564,30 mph,"LINESTRING (-118.2117169 34.0736942, -118.2111199 34.0737031, -118.210928 34.073706, -118.2103647 34.0737145)",1.7710629996447704,0.0038258563714752922,,North Broadway,,,,
14940283,122681247,0,161706531,,False,6,primary,False,111.92399999999999,35 mph,"LINESTRING (-118.2631482 34.0781305, -118.2628966 34.0785419, -118.2627321 34.0788104, -118.262599 34.0790284)",1.6857162030461545,0.0004804963191747085,CA 2,North Alvarado Street,,,,
14940283,20400296,0,161706531,,False,6,primary,True,64.303,35 mph,"LINESTRING (-118.2631482 34.0781305, -118.2631663 34.0781027, -118.2632589 34.0779619, -118.2634827 34.0776229)",1.6776293562186053,0.0011403700892041123,CA 2,North Alvarado Street,,,,
14940283,122967892,0,161706534,,False,2,residential,False,193.728,,"LINESTRING (-118.2631482 34.0781305, -118.2640972 34.0785386, -118.2641383 34.0785563, -118.2650171 34.07893)",1.6255326355917872,0.0004413273413815193,,Elsinore Street,,,,
14940287,122656766,0,398757820,,False,5,primary,False,37.573,,"LINESTRING (-118.2842107 34.0453296, -118.2841884 34.0449922)",1.4260611693536973,0.02089065080021163,,South Hoover Street,,,,
