u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,Cost of returning,Edge Betweenness,width,access,ref,bridge,tunnel,junction,est_width
171946,26513145,0,807334397,True,4,Calle de Velázquez,secondary,50,False,43.952,"LINESTRING (-3.6844432 40.4212466, -3.6844412 40.421281, -3.6844209 40.4216415)",13.18355568540381,0.0016269685142448797,,,,,,,
171951,1209331009,0,104864843,True,,Calle Juan de Mena,residential,,False,18.733,"LINESTRING (-3.6889892 40.4173597, -3.6888461 40.4174882)",2.9645605863381954,0.00022418251733215695,,,,,,,
171951,26486636,0,553113575,True,3,Calle de Alfonso XII,tertiary,50,False,81.55199999999999,"LINESTRING (-3.6889892 40.4173597, -3.6890327 40.4168733, -3.6890333 40.4168667, -3.6890567 40.4166281)",9.880149948518968,0.007170491845246184,,,,,,,
171952,26486617,0,317302445,True,3,Calle de Alfonso XII,tertiary,,False,26.251,"LINESTRING (-3.6889805 40.4149907, -3.6889685 40.4147548)",8.116446692129763,0.007228505972662378,,,,,,,
171953,2681222064,0,28401583,True,,Calle Espalter,residential,,False,18.835,"LINESTRING (-3.6889012 40.4127748, -3.6887581 40.4129045)",6.279243462122745,0.0004109474093595522,,,,,,,
171953,329987524,0,727972600,True,3,Calle de Alfonso XII,tertiary,50,False,51.791,"LINESTRING (-3.6889012 40.4127748, -3.6888934 40.4126027, -3.6888914 40.4125635, -3.6888804 40.4123093)",10.736591552209763,0.00732194660088543,,,,,,,
171954,249084428,0,23076536,True,1,Calle Doctor Velasco,residential,50,False,199.39700000000002,"LINESTRING (-3.6887986 40.4094693, -3.6889168 40.4093375, -3.6900103 40.4081184, -3.6900626 40.4080937, -3.6901793 40.4080281)",24.476389291810257,0.0013821765654214338,,,,,,,
171954,329987526,0,373776805,True,2,Calle de Alfonso XII,tertiary,50,False,163.469,"LINESTRING (-3.6887986 40.4094693, -3.6887916 40.4093551, -3.6887889 40.4093102, -3.6887786 40.4091629, -3.6887027 40.408001)",15.622342056907781,0.00012951359802273582,,,,,,,
20953196,20953221,0,4049532,True,1,Calle de Mozart,residential,50,False,73.477,"LINESTRING (-3.7223004 40.42323, -3.7221717 40.4231249, -3.7217065 40.4227481)",9.24962853834962,0.00023733169664623524,,,,,,,
20953197,20953196,0,44618907,True,,Calle de Mozart,residential,30,False,269.158,"LINESTRING (-3.7244864 40.4249877, -3.7244193 40.4249337, -3.7234632 40.4241771, -3.723347 40.4240851, -3.7232544 40.4240068, -3.7223747 40.4232907, -3.7223004 40.42323)",9.4590333210056,0.00023733169664623524,,,,,,,
20953197,20953196,1,"[7642969, 1184792073, 1184792209]",True,,Calle de Mozart,residential,30,False,368.845,"LINESTRING (-3.7244864 40.4249877, -3.7240695 40.4252808, -3.7240443 40.4252985, -3.7238412 40.4251327, -3.7229455 40.4244013, -3.721877 40.4235289, -3.7219399 40.4234845, -3.7223004 40.42323)",,0.0,5.9,,,,,,
20953217,20953197,0,7643045,True,2,Calle de Mozart,residential,30,False,73.71900000000001,"LINESTRING (-3.7251148 40.4245287, -3.7250564 40.4245716, -3.7244864 40.4249877)",9.333605508719241,0.00023733169664623524,,,,,,,
20953217,26080652,0,44885765,False,4,Paseo de la Florida,primary,50,False,106.453,"LINESTRING (-3.7251148 40.4245287, -3.7250263 40.4244467, -3.7249466 40.4243727, -3.724288 40.4238075)",1.585207524656059,0.011797503155738388,,,,,,,
20953217,338895648,0,44885765,False,4,Paseo de la Florida,primary,50,True,71.442,"LINESTRING (-3.7251148 40.4245287, -3.7255647 40.4249211, -3.7256706 40.4250122)",1.8365626913465858,0.013642551520023149,,,,,,,
20953221,1339845178,0,"[1184792226, 24769406]",True,,Calle de Mozart,residential,,False,137.117,"LINESTRING (-3.7217065 40.4227481, -3.7212329 40.4223614, -3.7212045 40.4223382, -3.7211822 40.4223052, -3.7212108 40.4222708, -3.7215889 40.4219571, -3.7216378 40.4219266, -3.7217121 40.4218652, -3.721747 40.4218387)",2.5122658139777787,0.00045744145932358915,,,,,,,
20953226,3519104384,0,239499977,True,,Gran Vía,residential,,False,6.757,"LINESTRING (-3.7060675 40.420314, -3.706058 40.4203354, -3.7060687 40.4203727)",2.606051814332292,0.00010899467219044253,,,,,,,
20953226,26067814,0,"[551051371, 269291945, 909056211, 335713716]",False,2,Calle de Jacometrezo,residential,,True,180.75599999999997,"LINESTRING (-3.7060675 40.420314, -3.7061777 40.4202392, -3.7062436 40.4202125, -3.7063111 40.4201983, -3.7068014 40.4202049, -3.7070537 40.4202098, -3.7072453 40.420215, -3.7073987 40.4202172, -3.7079508 40.4202326, -3.7081532 40.4202383)",2.218506882542968,0.0050853707557856065,,permissive,,,,,
