u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,Cost of returning,Edge Betweenness,access,ref,tunnel,bridge,width,junction
42421769,42443347,0,195743159,True,3,Columbus Avenue,primary,25 mph,False,86.01,"LINESTRING (-73.9750067 40.7826383, -73.9750379 40.7825956, -73.9754275 40.7820554, -73.9754991 40.7819606)",4.747804267293285,0.0020476148487787674,,,,,,
42421772,42421769,0,5668968,True,2,West 80th Street,residential,,False,271.70200000000006,"LINESTRING (-73.9778254 40.783828, -73.9777095 40.783779, -73.9751186 40.7826855, -73.9750067 40.7826383)",4.745484173889246,0.0005175910413543779,,,,,,
42421772,42442469,0,"[1025731514, 195743132]",True,"['4', '3']",Amsterdam Avenue,primary,,False,81.618,"LINESTRING (-73.9778254 40.783828, -73.9777779 40.783893, -73.9775743 40.7841721, -73.977474 40.78431, -73.977396 40.7844124, -73.9773536 40.7844692)",7.944620722442497,0.0008923375363724539,,,,,,
42421800,42435308,0,542215780,False,4,Central Park West,secondary,25 mph,True,80.571,"LINESTRING (-73.9703125 40.7839869, -73.9703541 40.7839304, -73.9707295 40.7834159, -73.9707756 40.7833528)",1.262555179150249,0.00024242424242424242,,,,,,
42421828,42430942,0,194923763,False,2,East 10th Street,tertiary,20 mph,False,101.191,"LINESTRING (-73.9762137 40.725334, -73.9753393 40.7249648, -73.9752604 40.7249279, -73.9751696 40.7248848)",1.3442519217919358,0.0003007965200011757,,,,,,
42421828,42430938,0,194923763,False,2,East 10th Street,tertiary,20 mph,True,127.407,"LINESTRING (-73.9762137 40.725334, -73.9773483 40.725812, -73.9773818 40.7258263, -73.9774334 40.7258437, -73.9775411 40.7258818)",1.8233215216576906,0.000380566087646592,,,,,,
42421877,42421889,0,"[5668989, 1032454983]",True,"['1', '2']",West 9th Street,residential,25 mph,False,310.922,"LINESTRING (-73.9959296 40.7328696, -73.9960197 40.7329068, -73.9987019 40.7340344, -73.9989519 40.7341362, -73.9989743 40.734145, -73.9989906 40.7341503, -73.9990116 40.7341556, -73.9990365 40.7341578, -73.9990542 40.7341577, -73.9990771 40.7341576, -73.9990963 40.734156, -73.9991816 40.7341463)",5.300133459840468,0.010116509420098169,,,,,,
42421877,42437949,0,889114527,True,2,5th Avenue,secondary,25 mph,False,77.145,"LINESTRING (-73.9959296 40.7328696, -73.9959703 40.7328024, -73.9959844 40.732781, -73.9961089 40.7326079, -73.9961832 40.7325068, -73.9962831 40.7323687, -73.9963205 40.732317, -73.9963683 40.7322611)",5.213306255250032,0.008665608558916028,,,,,,
42421889,42432191,0,24264114,True,,Christopher Street,residential,25 mph,False,42.120000000000005,"LINESTRING (-73.9991816 40.7341463, -73.9993535 40.7341229, -73.9994849 40.734103, -73.9995531 40.7340961, -73.9996733 40.7340784)",3.144216497445793,0.009859683155512448,,,,,,
42421889,42430241,0,451905565,True,4,6th Avenue,secondary,25 mph,False,81.50399999999999,"LINESTRING (-73.9991816 40.7341463, -73.9991288 40.7342185, -73.9987633 40.7347164, -73.9987127 40.7347874)",5.434741971301135,0.006807630132557387,,,,,,
42421969,5706568625,0,709355577,True,2,Central Park West,secondary,25 mph,False,79.923,"LINESTRING (-73.9810586 40.7692956, -73.9810148 40.7693514, -73.9806229 40.7698597, -73.9805837 40.7699178)",8.406501279638501,0.004851247685389295,,,,,,
42421972,1061531777,0,542371971,True,,West 61st Street,residential,,False,21.559,"LINESTRING (-73.982236 40.7697925, -73.9820135 40.7696966)",5.2349360812651025,0.0002866884166593187,,,,,,
