u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,Inverse SP,Cost of return,Edge Betweenness,width,bridge,junction,tunnel,access,ref,Groups
360930,480690113,0,"[84416296, 1303225414]",secondary,3,30,Rue de Tolbiac,False,False,154.0921311476369,"LINESTRING (2.3614982 48.8263456, 2.3618586 48.8263893, 2.3630368 48.8265526, 2.363321 48.826592, 2.3633827 48.8266007, 2.3635598 48.8266251)",154.0921311476369,1.7909925101659416,0.0045700909558266,,,,,,,C
360930,361704,0,84416296,secondary,3,30,Rue de Tolbiac,False,True,114.40988245853046,"LINESTRING (2.3614982 48.8263456, 2.3607406 48.8262432, 2.360655 48.8262331, 2.3602855 48.8261849, 2.3601236 48.8261698, 2.3599616 48.8261632)",114.40988245853048,1.5309738317857773,0.0037870049838025,,,,,,,C
360932,253316556,0,3599327,secondary,2,30,Rue de Tolbiac,False,False,99.25112859247702,"LINESTRING (2.3572608 48.8261825, 2.3573891 48.826182, 2.3574726 48.8261808, 2.3575585 48.8261798, 2.3586162 48.8261615)",99.251128592477,1.4173378559612857,0.0035569322546983,,,,,,,C
360932,100289178,0,"[157910468, 56138076]",secondary,3,30,Rue de Tolbiac,False,False,264.9930387754758,"LINESTRING (2.3572608 48.8261825, 2.3571435 48.8261807, 2.3570596 48.8261788, 2.3566572 48.8261564, 2.3560257 48.8261206, 2.3553091 48.8260801, 2.3552177 48.8260749, 2.3551352 48.8260703, 2.3543948 48.8260291, 2.3540677 48.8260119, 2.3537682 48.8259964, 2.353653 48.8259905)",264.9930387754758,1.9111695631218224,0.0032208653207011,,,,,,,C
360932,252659093,0,309765258,primary,5,30,Avenue d'Italie,False,False,44.24567746752173,"LINESTRING (2.3572608 48.8261825, 2.3572955 48.8260492, 2.357308 48.8260012, 2.3573879 48.8257938)",44.24567746752172,1.3883310689052784,0.0018202478940831,,,,,,,C
360932,21657548,0,"[298746802, 309765259]",primary,4,30,Avenue d'Italie,False,True,64.8099422173755,"LINESTRING (2.3572608 48.8261825, 2.3572326 48.8262912, 2.3572183 48.826346, 2.3571437 48.8265843, 2.3571405 48.8265943, 2.3571131 48.8266809, 2.3570898 48.8267543)",64.8099422173755,1.7715600606722752,0.0010082444839222,,,,,,,C
360935,246999158,0,11288141,tertiary,2,30,Rue Bobillot,False,True,183.1041006659192,"LINESTRING (2.3503781 48.8258123, 2.3502745 48.8257105, 2.3502121 48.8256489, 2.3500121 48.8254516, 2.349656 48.8251001, 2.3495765 48.8250217, 2.3489897 48.8244426)",183.1041006659192,1.8419739245492823,0.0003016674135548,,,,,,,C
360935,251514416,0,11288240,residential,,30,Rue Charles Fourier,True,False,72.58704775615861,"LINESTRING (2.3503781 48.8258123, 2.3505423 48.8257029, 2.3507841 48.8255325, 2.3510655 48.8253419)",794.1725362323344,13.578686518673296,0.0013510384352503,,,,,,,C
360935,246263427,0,85735933,tertiary,2,30,Rue Bobillot,False,False,114.79385105747428,"LINESTRING (2.3503781 48.8258123, 2.3504827 48.8259154, 2.350632 48.826063, 2.3512488 48.8266709)",114.79385105747428,1.8328097988222176,0.0006170727943213,,,,,,,C
360935,1829061660,0,"[662481808, 1356859002, 748705046, 748705047]",secondary,2,30,Rue de Tolbiac,False,False,148.96925134159022,"LINESTRING (2.3503781 48.8258123, 2.3502053 48.8257987, 2.3501282 48.8257958, 2.3498525 48.8257817, 2.3496626 48.8257715, 2.348593 48.8257141, 2.3485368 48.8257113, 2.3484219 48.8257047, 2.3483503 48.8257013)",148.96925134159025,1.8417624770494123,0.0034057054105444,10.2,,,,,,C
