u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,Inverse SP,Cost of return,Edge Betweenness,geometry,ref,bridge,junction,width,tunnel,access,Groups
83510216,83545632,0,10150310,residential,2,20 mph,1100 North,False,False,76.87630940472039,76.87630940472039,1.4870975072729755,0.0008477657663958936,"LINESTRING (-111.9416301 40.7933764, -111.9425433 40.7933732)",,,,,,,C
83510216,7299887542,0,10150310,residential,2,20 mph,1100 North,False,True,7.227789129380462,7.227789129380462,1.4873352699977547,0.006135493847283714,"LINESTRING (-111.9416301 40.7933764, -111.9415443 40.7933788)",,,,,,,C
83510216,83510218,0,10124566,residential,2,20 mph,Antilles Drive,False,False,171.01075920270515,171.01075920270515,1.4870706957895947,0.0043037644560846265,"LINESTRING (-111.9416301 40.7933764, -111.941628 40.7934615, -111.9416239 40.7942829, -111.9417544 40.7946136, -111.9419973 40.794833)",,,,,,,C
83510218,83510230,0,10124566,residential,2,20 mph,Antilles Drive,False,False,141.7892309132035,141.78923091320348,1.4888540791373472,0.0037171470994864725,"LINESTRING (-111.9419973 40.794833, -111.9423339 40.7949623, -111.9426507 40.7950205, -111.9429778 40.7950669, -111.9432705 40.7951574, -111.9434477 40.795256, -111.9435298 40.7953137)",,,,,,,C
83510218,83510216,0,10124566,residential,2,20 mph,Antilles Drive,False,True,171.01075920270515,171.01075920270515,1.4870706957895938,0.0043037644560846265,"LINESTRING (-111.9419973 40.794833, -111.9417544 40.7946136, -111.9416239 40.7942829, -111.941628 40.7934615, -111.9416301 40.7933764)",,,,,,,C
83510218,83659372,0,10141716,residential,2,20 mph,Antilles Circle,False,False,41.38054096517143,41.38054096517143,1.2426374431371445,0.00029638411381149973,"LINESTRING (-111.9419973 40.794833, -111.9419491 40.7948735, -111.941668 40.7951093)",,,,,,,C
83510230,83590741,0,10132762,residential,2,20 mph,Morton Drive,False,True,37.54337543711724,37.54337543711724,1.5116710476993276,0.0015070512706732973,"LINESTRING (-111.9435298 40.7953137, -111.943868 40.7950936)",,,,,,,C
83510230,83510218,0,10124566,residential,2,20 mph,Antilles Drive,False,True,141.78923091320348,141.7892309132035,1.488854079137347,0.0037171470994864725,"LINESTRING (-111.9435298 40.7953137, -111.9434477 40.795256, -111.9432705 40.7951574, -111.9429778 40.7950669, -111.9426507 40.7950205, -111.9423339 40.7949623, -111.9419973 40.794833)",,,,,,,C
83510230,83590737,0,10132762,residential,2,20 mph,Morton Drive,False,False,61.99397242513004,61.99397242513004,1.515366486463572,0.0020709982740655906,"LINESTRING (-111.9435298 40.7953137, -111.9432901 40.795472, -111.9430108 40.7957078)",,,,,,,C
83511425,83643196,0,10139154,residential,2,20 mph,West Sir Timothy Avenue,False,False,84.73275149341123,84.73275149341123,1.295043337698756,0.00029638411381149973,"LINESTRING (-111.947007 40.7917606, -111.9473292 40.7917363, -111.9480119 40.7917399)",,,,,,,C
83511425,83643191,0,10139154,residential,2,20 mph,West Sir Timothy Avenue,False,True,84.89850145452985,84.89850145452985,1.6876891414390356,4.446201055102842e-05,"LINESTRING (-111.947007 40.7917606, -111.9468354 40.7917715, -111.9466207 40.7917544, -111.9463013 40.7917043, -111.9461215 40.7916963, -111.9460076 40.7916912)",,,,,,,C
83511425,83683576,0,10146047,residential,2,20 mph,North Sir Michael Drive,False,True,85.17355165221763,85.17355165221763,1.7711520988013505,0.0005628925683594625,"LINESTRING (-111.947007 40.7917606, -111.9470058 40.7916992, -111.9469921 40.7909947)",,,,,,,C
83517917,83595513,0,10133245,residential,2,20 mph,Doralma Street,False,True,112.97445107585276,112.97445107585276,1.2309930424940954,0.00029638411381149973,"LINESTRING (-111.9462345 40.7771536, -111.9462373 40.7781696)",,,,,,,C
83518735,83609823,0,10136633,residential,2,20 mph,Lucy Avenue,False,False,226.49339177765668,226.49339177765668,1.564919623520274,0.00029638411381149973,"LINESTRING (-111.8969796 40.7425424, -111.8971741 40.7425407, -111.8976324 40.7425362, -111.8980842 40.7425353, -111.8990973 40.7425305, -111.8994733 40.7425279, -111.8995252 40.7425269, -111.8996678 40.7425317)",,,,,,,C
83521718,9251870522,0,"[1002466736, 418152105, 145613739]",primary,"['4', '3']",35 mph,600 North,True,False,425.64096619744726,924.6081093404048,8.333338896793274,0.046771926229616234,"LINESTRING (-111.9084687 40.7823095, -111.9066166 40.7823153, -111.9062786 40.7823168, -111.9038376 40.7823178, -111.9034134 40.7823191)",UT 268,yes,,,,,B
83523735,83623183,0,"[10134220, 10140647]",residential,2,20 mph,"['High Avenue', 'Utah Street']",False,"[False, True]",397.1416392188592,397.14163921885927,1.6026607978005603,0.0012335132492397962,"LINESTRING (-111.9366352 40.7392912, -111.9366355 40.739197, -111.9366294 40.7383866, -111.9366243 40.7383199, -111.9366068 40.738262, -111.936585 40.7382108, -111.9365697 40.7381551, -111.9365663 40.738062, -111.9365614 40.7378187, -111.9365514 40.7377374, -111.936518 40.7376663, -111.9363742 40.7374219, -111.9363351 40.7373576, -111.9360633 40.7373581, -111.9343272 40.737361, -111.934226 40.7373613)",,,,,,,C
83523735,4633464663,0,10134220,residential,2,20 mph,Utah Street,False,True,33.323261747993,33.32326174799301,1.1759871530439945,0.001137823270010409,"LINESTRING (-111.9366352 40.7392912, -111.9366228 40.7393687, -111.9365678 40.7395169, -111.9365585 40.7395842)",,,,,,,C
83523735,470780597,0,"[39281019, 1281862830]",residential,2,20 mph,,False,False,193.2639460691858,82.5309958254218,1.1992644636239596,0.0,"LINESTRING (-111.9366352 40.7392912, -111.9366999 40.739292, -111.9367326 40.739292, -111.936905 40.7392937, -111.9370377 40.7392994, -111.937113 40.7393224, -111.9371654 40.7393538, -111.9372032 40.7394017, -111.9373349 40.7396425, -111.9373778 40.739766, -111.9373844 40.7399019, -111.9373742 40.7400278, -111.9366468 40.7400267, -111.9365632 40.7400267)",,,,,,,C
83527465,83584193,0,147854629,tertiary,5,30 mph,1700 South,False,False,276.54654556216883,276.54654556216883,1.4905454713991935,0.004139536199721242,"LINESTRING (-111.9343631 40.7331455, -111.9349424 40.7331438, -111.9351963 40.7331436, -111.9357371 40.7331441, -111.9358196 40.7331442, -111.937217 40.7331455, -111.9376452 40.7331461)",,,,,,,B
83527465,1609994588,0,"[147854639, 1355008493, 147854655]",tertiary,2,30 mph,1700 South,True,False,126.52530118485438,126.52514551708849,1.2189437531945588,0.004294801758305565,"LINESTRING (-111.9343631 40.7331455, -111.9341574 40.7330895, -111.9337016 40.7330843, -111.9336292 40.7330862, -111.9335563 40.7330882, -111.9332338 40.7331008, -111.9328798 40.7331455)",,yes,,,,,B
83530570,359389591,0,542540928,secondary,4,30 mph,1300 South,False,False,122.93717768061349,122.93717768061349,2.0367520212745154,0.029812832509497386,"LINESTRING (-111.903605 40.7416017, -111.905064 40.7415822)",,,,,,,B
83530570,8366005298,0,"[900591380, 900591383]",secondary,"['2', '3']",30 mph,1300 South,True,False,90.19807025749719,210.04088062544713,5.916553333444384,0.053402125846469695,"LINESTRING (-111.903605 40.7416017, -111.9034517 40.7415141, -111.9030516 40.7415233, -111.9025737 40.7415386)",,,,,,,B
83530570,432831768,0,"[10126232, 37229162, 1112856300, 914808213]",motorway_link,"['2', '1', '3']",,,True,False,557.4876353799559,3947.190658020121,22.392372555630683,0.032188298899292846,"LINESTRING (-111.903605 40.7416017, -111.903595 40.741753, -111.9035678 40.7425779, -111.9035342 40.7432775, -111.903611 40.7438695, -111.9036968 40.7442336, -111.903923 40.7447166, -111.9043924 40.7453702, -111.9049141 40.7459694, -111.9052185 40.7462935)",,yes,,,,,A
83534966,83658144,0,10141542,residential,2,20 mph,Green Street,False,True,180.95318030190137,180.95318030190137,1.6524653059153447,0.00029638411381149973,"LINESTRING (-111.8728385 40.7237715, -111.8728383 40.7237925, -111.8728344 40.7243115, -111.8728452 40.7252145, -111.8728462 40.725328, -111.872846 40.7253988)",,,,,,,C
83535259,9251870518,0,"[145220156, 676045151]",secondary,2,35 mph,600 North,True,False,141.49271268591764,424.5095539936026,13.43460053976954,0.022041997795879304,"LINESTRING (-111.912461 40.7823096, -111.9112072 40.7822926, -111.9107807 40.7822939)",,yes,,,,,B
83535259,9251870459,0,"[1002466712, 145220151]",motorway_link,1,,,True,False,122.65858603729072,391.1886894797286,8.460239978189101,0.0002796010228722775,"LINESTRING (-111.912461 40.7823096, -111.912049 40.7823535, -111.9118782 40.7823625, -111.9117743 40.7823684, -111.911698 40.7823714, -111.9116146 40.7823725, -111.9112406 40.7823704, -111.9111437 40.7823735, -111.9111107 40.7823767, -111.9110797 40.7823801, -111.9110484 40.7823848, -111.9110112 40.7823908)",,yes,spui,,,,A
83535259,359376675,0,1023335903,motorway_link,1,,,True,False,135.33456814832215,5311.454748712503,33.005566017904684,0.0006497077193958579,"LINESTRING (-111.912461 40.7823096, -111.9119731 40.7822594, -111.9119154 40.7822517, -111.9118499 40.7822386, -111.9117997 40.7822264, -111.9117478 40.7822105, -111.9116964 40.782193, -111.911652 40.7821749, -111.9116075 40.7821527, -111.9115704 40.7821318, -111.9115204 40.7821005, -111.9114787 40.7820698, -111.9114382 40.782035, -111.9114076 40.7820083, -111.911375 40.7819759, -111.9113342 40.781931, -111.9113088 40.7818982, -111.9112858 40.7818642, -111.911262 40.7818255, -111.9111948 40.7817157)",,,spui,,,,A
