u,v,key,osmid,oneway,name,highway,reversed,length,geometry,Cost of returning,Edge Betweenness,lanes,maxspeed,bridge,ref,junction,access,tunnel
876560967,1418226915,0,128301744,True,Avenida Salmão,tertiary,False,60.74,"LINESTRING (-45.9103038 -23.2191028, -45.910166 -23.2189536, -45.9100447 -23.2189117, -45.9099444 -23.2189283, -45.9097968 -23.2189526)",5.479144356684559,0.003335167708948294,,,,,,,
876560967,943022745,0,670118676,True,Avenida Cassiano Ricardo,primary,False,66.525,"LINESTRING (-45.9103038 -23.2191028, -45.9102374 -23.218956, -45.9101981 -23.2188159, -45.9102028 -23.2186551, -45.9102396 -23.2185257)",4.320152201312693,0.002854441982061834,2,70,,,,,
876561059,943022725,0,"[754630560, 754630561]",True,Avenida Cassiano Ricardo,primary,False,51.027,"LINESTRING (-45.9106397 -23.2185167, -45.9107118 -23.2188069, -45.9107462 -23.218965)",4.7397069850764915,0.005189610066479324,2,70,,,,,
884411098,1418085441,0,128289604,True,Avenida Jorge Zarur,primary,False,31.951999999999998,"LINESTRING (-45.9061609 -23.2058738, -45.906067 -23.2059246, -45.9059987 -23.205989, -45.9059304 -23.2060633)",21.78426158853156,0.0025818513459882303,,80,,,,,
884411098,1418085453,0,128289606,True,,residential,False,13.369,"LINESTRING (-45.9061609 -23.2058738, -45.9061308 -23.2059321, -45.9061112 -23.2059848)",23.162897975402416,0.0021604497520213697,,,,,,,
884411098,6648395484,0,"[885101451, 885101452, 292528703]",True,Ponte Leonardo Kunimitsu Suzuki,primary,False,71.613,"LINESTRING (-45.9061609 -23.2058738, -45.9061277 -23.2058637, -45.906094 -23.2058511, -45.906011 -23.2058185, -45.9059487 -23.2057887, -45.9058837 -23.2057516, -45.9058292 -23.2057085, -45.9057899 -23.205671, -45.9057121 -23.2055715, -45.9056894 -23.2055366, -45.9056515 -23.2054654)",7.403059239140761,0.03356500617083623,3,,yes,,,,
943022725,876560967,0,131040048,True,,primary_link,False,66.514,"LINESTRING (-45.9107462 -23.218965, -45.910729 -23.2190915, -45.9107059 -23.2191366, -45.91067 -23.2191661, -45.910632 -23.2191893, -45.9105938 -23.2192067, -45.910534 -23.2192097, -45.9104881 -23.2192022, -45.9104021 -23.2191683, -45.9103038 -23.2191028)",4.564814692038723,0.005189610066479324,,,,,,,
943022745,876561059,0,80896702,True,,primary_link,False,50.045,"LINESTRING (-45.9102396 -23.2185257, -45.9103363 -23.218447, -45.9103788 -23.2184284, -45.9104416 -23.2184199, -45.9105339 -23.2184156, -45.9105855 -23.2184399, -45.9106397 -23.2185167)",4.453154224426531,4.856068264304781e-05,,,,,,,
943022745,1418227082,0,"[131040820, 754630566]",True,Avenida Cassiano Ricardo,primary,False,157.138,"LINESTRING (-45.9102396 -23.2185257, -45.9102624 -23.2184464, -45.9104105 -23.2180167, -45.9104071 -23.2176588, -45.9103003 -23.2171456)",14.250971056752999,0.011413700345293987,2,"['70', '60']",,,,,
1102127919,1319614079,0,117145398,False,Rua Estônia,residential,False,160.751,"LINESTRING (-45.8893561 -23.2104235, -45.8882519 -23.2114531)",1.545921247441232,3.817270156218964e-06,,,,,,,
1102127919,1357607206,0,129003570,False,Avenida Marechal Henrique Teixeira Lott,residential,False,72.006,"LINESTRING (-45.8893561 -23.2104235, -45.8888626 -23.2099613)",1.4760371285966094,0.0014938041950672608,,,,,,,
