u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,tunnel,geometry,Cost of returning,Edge Betweenness,bridge,junction,width,access,est_width,service
629904,629920,0,"[1276025859, 38169095, 499548874, 499640602, 31872856, 31872858, 31872859, 499640604]",True,"['3', '2', '4']",A 620,Périphérique Intérieur,motorway,"['70', '90']",False,1331.784,yes,"LINESTRING (1.471414 43.5737221, 1.4710763 43.5738999, 1.4708778 43.5739825, 1.4707062 43.5740582, 1.4705157 43.5741233, 1.4703213 43.5741884, 1.4700691 43.5742516, 1.4698297 43.5742958, 1.469659 43.5743316, 1.4694261 43.5743599, 1.4692747 43.5743761, 1.4690575 43.5743972, 1.468681 43.5744114, 1.4683956 43.5744099, 1.4682074 43.5743951, 1.467956 43.5743708, 1.4677188 43.5743405, 1.4675371 43.5743099, 1.4673118 43.5742642, 1.4671026 43.5742088, 1.4668947 43.5741467, 1.4667244 43.5740913, 1.4664951 43.5740087, 1.466302 43.573928, 1.4661384 43.5738552, 1.4659694 43.5737774, 1.4658031 43.5736871, 1.4655885 43.5735637, 1.4653082 43.5733859, 1.4649059 43.5731187, 1.4645371 43.5728972, 1.4643131 43.5727806, 1.4641643 43.5727077, 1.4639725 43.5726222, 1.4637727 43.5725445, 1.4635728 43.5724774, 1.4633207 43.5724036, 1.4631195 43.5723472, 1.4628996 43.5722957, 1.4626636 43.572252, 1.4624543 43.5722248, 1.462229 43.5721966, 1.4620239 43.5721782, 1.4617757 43.5721665, 1.4614917 43.5721587, 1.4610055 43.5721696, 1.4600246 43.5722095, 1.4592869 43.5722522, 1.4582969 43.5722947, 1.4570081 43.5723609, 1.4559659 43.5724102)",36.299766857505674,0.003589544519583315,,,,,,
629920,1626640949,0,"[31872857, 1276025858]",True,3,A 620,Périphérique Intérieur,motorway,90,False,541.4559999999999,,"LINESTRING (1.4559659 43.5724102, 1.4554645 43.5724366, 1.4549039 43.5724648, 1.4545459 43.572493, 1.4542441 43.5725241, 1.4540175 43.5725503, 1.4537948 43.5725804, 1.4535467 43.5726173, 1.4533469 43.5726504, 1.453139 43.5726931, 1.4529419 43.5727378, 1.4526616 43.5728097, 1.452563 43.5728393, 1.4521413 43.5729661, 1.451692 43.5731284, 1.4510845 43.5733431, 1.4504702 43.5735686, 1.4496495 43.5738814)",47.55945327642205,0.0011581005198705097,,,,,,
629920,4908901258,0,"[499640587, 499640603]",True,1,,,motorway_link,50,False,107.941,,"LINESTRING (1.4559659 43.5724102, 1.4556737 43.5724764, 1.4551243 43.5725251, 1.4546463 43.5725585)",36.085238718300864,0.002431443999712805,,,,,,
630624,5542707881,0,315425770,True,3,A 620,Périphérique Intérieur,motorway,90,False,287.472,,"LINESTRING (1.3974377 43.5990969, 1.3975072 43.5993319, 1.3975851 43.5995721, 1.3976945 43.5998338, 1.3978668 43.6002102, 1.3980411 43.6005356, 1.3982798 43.6009255, 1.3986737 43.6015126)",45.50776827417157,0.006455208409767475,,,,,,
630627,975869295,0,14794172,True,1,,,motorway_link,50,False,284.21299999999997,,"LINESTRING (1.4003216 43.603222, 1.4007099 43.6033743, 1.4010542 43.6035897, 1.4012584 43.6036928, 1.401426 43.6037627, 1.4016151 43.6038258, 1.4018083 43.6038686, 1.4020027 43.603888, 1.4021891 43.6038938, 1.4024533 43.603887, 1.4029254 43.6038608, 1.4033774 43.6038336, 1.4035812 43.6038103)",58.449812756639574,0.002987144862323866,,,,,,
630627,5543232509,0,"[14794186, 631671698]",True,4,A 620,Périphérique Intérieur,motorway,90,False,172.031,,"LINESTRING (1.4003216 43.603222, 1.4007758 43.6035496, 1.4012589 43.6038782, 1.40157 43.6040745, 1.401799 43.6042249, 1.4018869 43.6042738)",45.368661760577325,0.0034680635474436086,yes,,,,,
635170,27502220,0,8101455,True,3,A 61,Périphérique Extérieur - Autoroute des Deux Mers,motorway,90,False,1485.922,,"LINESTRING (1.4845689 43.6114491, 1.4845236 43.6116525, 1.484455 43.6119185, 1.4840736 43.6131653, 1.4832495 43.6157586, 1.4819616 43.6198232, 1.4816254 43.6208784, 1.4812707 43.621957, 1.4808216 43.623157, 1.480302 43.6244467)",22.357117773222953,0.0033992974765490193,,,,,,
635173,2274959383,0,"[384009475, 384009473, 16860011]",True,"['3', '2', '1']",16,"Toulouse Centre, Les Argoulets, Balma",motorway_link,,False,277.447,,"LINESTRING (1.4854235 43.6046451, 1.485484 43.6047347, 1.485359 43.6050816, 1.4853182 43.6052571, 1.4852824 43.6054381, 1.4852665 43.6055962, 1.4852666 43.6057473, 1.4852752 43.6058746, 1.485291 43.6060998, 1.4853296 43.6065041, 1.4853511 43.6068829, 1.4853457 43.607112)",24.61188704473004,0.0024090315370225283,,,,,,
635173,635170,0,"[27846537, 146546446, 8101455]",True,3,A 61,Périphérique Extérieur - Autoroute des Deux Mers,motorway,90,False,763.1279999999999,,"LINESTRING (1.4854235 43.6046451, 1.4853811 43.6047212, 1.4853349 43.6048203, 1.485252 43.6050181, 1.4851069 43.6054029, 1.4850054 43.60576, 1.4849327 43.6060853, 1.4848795 43.6063841, 1.4848508 43.6065974, 1.4848274 43.6070676, 1.4848408 43.6073648, 1.4848193 43.608901, 1.4847985 43.6096164, 1.4847583 43.6101883, 1.4847033 43.6106777, 1.4846443 43.6110739, 1.4845689 43.6114491)",27.81323561039022,0.0011413096649837348,yes,,,,,
635181,635173,0,27846537,True,3,A 61,Périphérique Extérieur - Autoroute des Deux Mers,motorway,90,False,1044.719,,"LINESTRING (1.492915 43.5971344, 1.4927915 43.5973947, 1.4926386 43.5976715, 1.4924414 43.5979891, 1.4922953 43.5982076, 1.4920257 43.5985679, 1.4918192 43.5988263, 1.4916207 43.5990448, 1.4913887 43.5992983, 1.4910199 43.599643, 1.4907409 43.5998829, 1.4904633 43.6001053, 1.4901267 43.6003549, 1.4897901 43.600587, 1.4894977 43.6007725, 1.4885201 43.6013776, 1.4881633 43.6016068, 1.4878455 43.601836, 1.4874592 43.6021312, 1.4871655 43.6023827, 1.486959 43.602574, 1.4867096 43.6028197, 1.4865017 43.603046, 1.4862415 43.6033529, 1.4860323 43.6036306, 1.4858137 43.6039453, 1.4854235 43.6046451)",24.726919593756737,0.003550341202006263,,,,,,
