u,v,key,osmid,name,highway,oneway,reversed,length,Cost of returning,Edge Betweenness,geometry,lanes,maxspeed,bridge,ref,access,tunnel,junction
122129029,122373444,0,500852879,West 20th Street North,residential,False,False,50.838,1.2749353649292348,0.00026946914578280785,"LINESTRING (-97.345992 37.720741, -97.34657 37.720741)",,,,,,,
122129029,122373441,0,500852879,West 20th Street North,residential,False,True,108.449,1.580670466668695,0.0005385024924080155,"LINESTRING (-97.345992 37.720741, -97.344759 37.720743)",,,,,,,
122129029,122129042,0,13235525,North Shelton Street,residential,False,False,202.04999999999998,1.2364794111513282,2.905327717334856e-07,"LINESTRING (-97.345992 37.720741, -97.3459953 37.7224658, -97.3459713 37.7225561)",,,,,,,
122129042,122129029,0,13235525,North Shelton Street,residential,False,True,202.04999999999998,1.2364794111513269,2.905327717334856e-07,"LINESTRING (-97.3459713 37.7225561, -97.3459953 37.7224658, -97.345992 37.720741)",,,,,,,
122129042,122488939,0,155159027,West 21st Street North,secondary,False,True,105.836,1.0986237952748623,0.00026946914578280785,"LINESTRING (-97.3459713 37.7225561, -97.3453846 37.7225584, -97.3451504 37.7225598, -97.344862 37.7225615, -97.344768 37.722562)",4,,,,,,
122130405,4018978859,0,1055547696,,tertiary,False,False,12.778,1.4291947487534722,0.0008350638191549709,"LINESTRING (-97.3419568 37.6858632, -97.3419545 37.6857483)",,,,,,,
122130405,4018978853,0,399152888,West Douglas Avenue,secondary,True,False,46.522999999999996,2.805574352860882,0.04326788356318107,"LINESTRING (-97.3419568 37.6858632, -97.3421889 37.685817, -97.342445 37.6857104)",3,30 mph,,,,,
122130405,122130418,0,879764243,North Waco Street,tertiary,False,False,230.53400000000002,1.931435452533263,0.006894560572814413,"LINESTRING (-97.3419568 37.6858632, -97.3419931 37.6870509, -97.3419958 37.6871405, -97.3420006 37.6875542, -97.3420037 37.6878142, -97.3420075 37.687936)",,,,,,,
122130418,4049764969,0,402581081,West 1st Street North,tertiary,False,False,49.849,1.4124338016902036,0.006879598135070138,"LINESTRING (-97.3420075 37.687936, -97.342574 37.6879378)",4,30 mph,,,,,
122130418,3817938435,0,13235628,North Waco Street,tertiary,False,False,32.39,1.4450989769783933,0.014310409571311631,"LINESTRING (-97.3420075 37.687936, -97.3420103 37.6880255, -97.342013 37.6881133, -97.3420166 37.6882272)",,,,,,,
122130418,122191314,0,398937009,West 1st Street North,tertiary,False,True,65.087,1.688109302224073,0.004235895178681287,"LINESTRING (-97.3420075 37.687936, -97.3413885 37.6879302, -97.3412679 37.6879278)",4,30 mph,,,,,
122130418,122130405,0,879764243,North Waco Street,tertiary,False,True,230.534,1.9314354525332667,0.005181797250252582,"LINESTRING (-97.3420075 37.687936, -97.3420037 37.6878142, -97.3420006 37.6875542, -97.3419958 37.6871405, -97.3419931 37.6870509, -97.3419568 37.6858632)",,,,,,,
122130452,504840444,0,13235628,North Waco Street,tertiary,False,True,204.05700000000004,1.5278785546769844,0.005003555394794089,"LINESTRING (-97.34203 37.691583, -97.3420303 37.691399, -97.3420305 37.6912504, -97.3420309 37.6909395, -97.3420312 37.6906986, -97.3420314 37.6905946, -97.342032 37.6901181, -97.3420325 37.6897767, -97.342031 37.6897479)",,,,,,,
122130452,2928949491,0,289339993,West 3rd Street North,unclassified,False,True,108.42200000000001,1.785379200241249,7.728171728110716e-05,"LINESTRING (-97.34203 37.691583, -97.3416466 37.6915827, -97.3412195 37.6915823, -97.340882 37.691582, -97.3407978 37.6915827)",,,,,,,
122130452,122130459,0,879764244,North Waco Street,tertiary,False,False,102.365,1.9061642998944295,0.005510026649118488,"LINESTRING (-97.34203 37.691583, -97.3420362 37.6919976, -97.3420421 37.6923939, -97.3420453 37.6925035)",,,,,,,
122130452,504814227,0,"[879764245, 13251102]","['Riverview Street', 'West 3rd Street North']",residential,False,"[False, True]",314.763,1.3816163794800758,0.0,"LINESTRING (-97.34203 37.691583, -97.3427215 37.6915842, -97.343154 37.691585, -97.343177 37.691585, -97.3432489 37.6915625, -97.34332 37.691518, -97.3433628 37.6914745, -97.343389 37.691413, -97.3433892 37.6913566, -97.3433918 37.6905256, -97.343392 37.690454, -97.3433475 37.6903734, -97.3432477 37.6901927, -97.343218 37.690139, -97.3431899 37.6898065, -97.343188 37.6897724)",,,,,,,
122130459,5890532755,0,574674703,North Waco Street,tertiary,True,False,100.364,6.6460507275951155,0.005454244356945658,"LINESTRING (-97.3420453 37.6925035, -97.3420268 37.692914, -97.3420103 37.6932913, -97.3420116 37.6934056)",,,,,,,
122130459,122130452,0,879764244,North Waco Street,tertiary,False,True,102.365,1.9061642998944293,0.003920812387736321,"LINESTRING (-97.3420453 37.6925035, -97.3420421 37.6923939, -97.3420362 37.6919976, -97.34203 37.691583)",,,,,,,
122130475,122130523,0,500852865,North Waco Street,tertiary,True,False,438.45099999999985,9.816327000783994,0.004910149108681773,"LINESTRING (-97.3418972 37.6938568, -97.3417947 37.6939877, -97.3416667 37.6941245, -97.3415411 37.6942531, -97.3413715 37.6944784, -97.3412497 37.6946864, -97.3411582 37.6948615, -97.3410839 37.6950712, -97.3410352 37.6952177, -97.3409788 37.6954405, -97.340967 37.695643, -97.340974 37.6959027, -97.3410045 37.6961867, -97.3410289 37.6962779, -97.3410805 37.6964784, -97.3410871 37.6965043, -97.3411664 37.6967254, -97.3412723 37.69695, -97.3413813 37.6971213, -97.3414217 37.6971848, -97.3415668 37.6974135, -97.3416341 37.6975197)",,,,,,,
122130523,5515677764,0,13274620,West Murdock Street,residential,False,False,16.852,1.52325403409898,0.022743486436840717,"LINESTRING (-97.3416341 37.6975197, -97.3418256 37.6975168)",,,,,,,
122130523,122521748,0,13274620,West Murdock Street,residential,False,True,80.25399999999999,1.974945933277884,0.030019879704905866,"LINESTRING (-97.3416341 37.6975197, -97.3414363 37.697518, -97.3413723 37.6975174, -97.3411631 37.6975156, -97.340805 37.6975125, -97.340722 37.697513)",,,,,,,
122130523,122130527,0,500852865,North Waco Street,tertiary,True,False,53.473,2.919952975155852,0.01761006289308176,"LINESTRING (-97.3416341 37.6975197, -97.3417108 37.697645, -97.3418342 37.6978463, -97.3419347 37.6979334)",,,,,,,
122130527,5515677764,0,574674699,North Waco Street,tertiary,True,False,48.155,2.8928503947509805,0.01534274514247364,"LINESTRING (-97.3419347 37.6979334, -97.3419517 37.6978277, -97.3419296 37.6977732, -97.341869 37.6976237, -97.3418256 37.6975168)",,,,,,,
122130527,122130531,0,574674704,North Waco Street,tertiary,False,False,104.779,1.633623471735492,0.017428843076713,"LINESTRING (-97.3419347 37.6979334, -97.3419447 37.6979671, -97.3419811 37.6980891, -97.3419827 37.698105, -97.3419977 37.6982525, -97.3419978 37.6984697, -97.3419981 37.6988709)",,,,,,,
122130531,5515677804,0,574674704,North Waco Street,tertiary,False,False,6.183,1.5393669812071913,0.017369501758086436,"LINESTRING (-97.3419981 37.6988709, -97.3419971 37.6989265)",,,,,,,
122130531,122360023,0,13269486,West 8th Street North,residential,False,True,115.355,1.7260100215031118,0.00016153622108381797,"LINESTRING (-97.3419981 37.6988709, -97.3413644 37.6988736, -97.3409882 37.6988752, -97.3408312 37.6988759, -97.3407413 37.6988763, -97.340687 37.698876)",,,,,,,
122130531,122130527,0,574674704,North Waco Street,tertiary,False,True,104.77900000000001,1.6336234717354912,0.015161525326104878,"LINESTRING (-97.3419981 37.6988709, -97.3419978 37.6984697, -97.3419977 37.6982525, -97.3419827 37.698105, -97.3419811 37.6980891, -97.3419447 37.6979671, -97.3419347 37.6979334)",,,,,,,
122130537,122359970,0,13269627,West 9th Street North,residential,False,True,104.49600000000001,1.498623309599637,0.000382922193144734,"LINESTRING (-97.341974 37.700262, -97.3413617 37.7002645, -97.3407863 37.700268)",,,,,,,
122130537,122130543,0,574674704,North Waco Street,tertiary,False,False,107.75200000000001,1.53311301963328,0.005976840180101265,"LINESTRING (-97.341974 37.700262, -97.341971 37.700521, -97.3419772 37.7011448, -97.341978 37.701231)",,,,,,,
122130537,5515677804,0,574674704,North Waco Street,tertiary,False,True,148.515,1.5169299732310966,0.0038164384894910667,"LINESTRING (-97.341974 37.700262, -97.3419762 37.700134, -97.3419786 37.699998, -97.3419837 37.6997018, -97.3419971 37.6989265)",,,,,,,
